name,birth,incoming_links,outgoing_links
Georg Henrik von Wright, (1916–2003),Ludwig Wittgenstein:Charles Sanders Peirce:G. E. Moore:Jürgen Habermas:R. B. Braithwaite:Oswald Spengler:Eino Kaila:,Karl-Otto Apel:Peter Hacker:
Jean Wahl, (1888–1974),G. W. F. Hegel:George Santayana:William James:Nicolai Hartmann:Henri Bergson:Martin Heidegger:Søren Kierkegaard:,Gilles Deleuze:Jean-Paul Sartre:Emmanuel Levinas:
Michael Walzer, (born 1935),John Rawls:Karl Marx:Isaiah Berlin:Charles Taylor:Niccolò Machiavelli:Albert Camus:,Michael J. Sandel:Jean Bethke Elshtain:Axel Honneth:Ian Shapiro:Rainer Forst:Amy Gutmann:Michael W. Doyle:
James Ward (psychologist), (1843–1925),F. H. Bradley:,G. E. Moore:
Watsuji Tetsuro, (1889–1960),Kyoto School:Heidegger:Nishida:Hegel:Sōseki:Aristotle:Nietzsche:Kierkegaard:Confusius:,Yuasa:Nakamura:Berque:Umehara:
Alan Watts, (1915–1973),D. T. Suzuki:Allen Ginsberg:Bankei Yōtaku:Ruth Fuller Sasaki:Aldous Huxley:Gary Snyder:Jiddu Krishnamurti:Joseph Campbell:Haridas Chaudhuri:Robert Anton Wilson:Monica Furlong:Seraphim Rose:Chungliang Al Huang:Jean Burden:Christmas Humphreys:Carl Jung:,
Simone Weil, (1909–1943),David Hume:Bhagavad Gita:Socrates:Alain:Homer:Aristotle:Charles Darwin:New Testament:Karl Marx:Plato:Sigmund Freud:René Descartes:Thomas More:Jean-Jacques Rousseau:Baruch Spinoza:Thomas Aquinas:Edward Gibbon:Voltaire:Immanuel Kant:Louise Michel:Friedrich Nietzsche:Michel de Montaigne:Erasmus:Augustine of Hippo:John Fisher:,Timothy Keller:Susan Sontag:Thomas Merton:Diogenes Allen:Albert Camus:Anne Carson:Iris Murdoch:Dewi Zephaniah Phillips:Flannery O'Connor:Peter Winch:Czesław Miłosz:Roger Scruton:János Pilinszky:Dorothy Day:Pope Francis:Giorgio Agamben:Pope Paul VI:Jean-Luc Godard:Cornel West:Pankaj Mishra:Christian Wiman:
Otto Weininger, (1880–1903),Arthur Schopenhauer:Immanuel Kant:,Ludwig Wittgenstein:James Joyce:August Strindberg:
Christian Hermann Weisse, (1801–1866),Georg Wilhelm Friedrich Hegel:Friedrich Wilhelm Joseph Schelling:Immanuel Hermann Fichte:,Hermann Lotze:
Victoria, Lady Welby, (1837–1912),Charles Darwin:Charles Sanders Peirce:F. C. S. Schiller:,Charles Sanders Peirce:Charles Kay Ogden:H. Walter Schmitz:Susan Petrilli:
Cornel West, (born 1953),Malcolm X:James Cone:Shakespeare:Martin Luther King Jr.:Eugene O'Neill:Josiah Royce:B. R. Ambedkar:Karl Marx:Richard Rorty:Sheldon Wolin:Anton Chekhov:Reinhold Niebuhr:James Baldwin:Søren Kierkegaard:W. E. B. Du Bois:Simone Weil:Toni Morrison:Michel Foucault:Blaise Pascal:Paul Tillich:Friedrich Engels:,
Alfred North Whitehead, (1861–1947),John Dewey:David Hume:George Santayana:Gottfried Wilhelm Leibniz:William James:Francis Herbert Bradley:Plato:Isaac Newton:Henri Bergson:John Locke:Aristotle:Immanuel Kant:,Bertrand Russell:Ken Wilber:F. S. C. Northrop:Susanne Langer:John Lighton Synge:W. V. O. Quine:Milič Čapek:Gilles Deleuze:Maurice Merleau-Ponty:James Luther Adams:Wolfgang Smith:Conrad Hal Waddington:Sewall Wright:Jules Vuillemin:David Bohm:Wilfred Eade Agar:C. D. Broad:Talcott Parsons:Ervin László:Donald Davidson:B. F. Skinner:Michel Weber:Eric Voegelin:Ilya Prigogine:
David Wiggins, (born 1933),,Jonathan Dancy:John McDowell:Jonathan Westphal:
Bernard Williams, (1929–2003),Ludwig Wittgenstein:Judith Shklar:Karel Čapek:Friedrich Nietzsche:Immanuel Kant:,Amartya Sen:Elizabeth Anderson:Stanley Cavell:Martha Nussbaum:A.W. Moore:
Donald Cary Williams, (1899–1983),Bertrand Russell:Edwin B. Holt:Ralph Barton Perry:Bernard Bosanquet:George Santayana:Samuel Alexander:,Nicholas Wolterstorff:David Lewis:D. M. Armstrong:John Bacon:David Stove:Keith Campbell:Paul Fitzgerald:
Raymond Williams, (1921–1988),Louis Althusser:Antonio Gramsci:Karl Marx:,Edward Said:Stuart Hall:Terry Eagleton:
Timothy Williamson, (born 1955),,Jason Stanley:John Hawthorne:
