name,birth,incoming_links,outgoing_links
Cora Diamond,NA,Stanley Cavell:,
Toril Moi,NA,Stanley Cavell:,
Shoshana Felman,NA,Stanley Cavell:,
Jay Cantor,NA,Stanley Cavell:,
Michael Fried,NA,Stanley Cavell:,
Paul Guyer,NA,Stanley Cavell:,
Alice Crary,NA,Stanley Cavell:,
Sandra Laugier,NA,Stanley Cavell:,
Stephen Mulhall,NA,Stanley Cavell:,
Terrence Malick,NA,Stanley Cavell:,
Paul W. Franks,NA,Stanley Cavell:,
Ross McElwee,NA,Stanley Cavell:,
Hent de Vries,NA,Stanley Cavell:,
Vicki Hearne,NA,Stanley Cavell:,
Marc Shell,NA,Stanley Cavell:,
Arnaud Desplechin,NA,Stanley Cavell:,
Robert Gardner,NA,Stanley Cavell:,
Nancy Bauer,NA,Stanley Cavell:,
David Macarthur,NA,Stanley Cavell:,
Rae Langton,NA,Stanley Cavell:,
Barbara Herman,NA,Stanley Cavell:,
Raymond of Sabunde,NA,,Pierre Charron:
Zhou Dunyi,NA,,Cheng Yi (philosopher):
Blanc,NA,,Nikolai Chernyshevsky:
Considérant,NA,,Nikolai Chernyshevsky:
Nekrasov,NA,,Nikolai Chernyshevsky:
Sechenov,NA,,Nikolai Chernyshevsky:
Russian Marxists,NA,Nikolai Chernyshevsky:,
Antonovich,NA,Nikolai Chernyshevsky:,
Dobrolyubov,NA,Nikolai Chernyshevsky:,
Lavrov,NA,Nikolai Chernyshevsky:,
Mikhaylovsky,NA,Nikolai Chernyshevsky:,
Pisarev,NA,Nikolai Chernyshevsky:,
Tkachev,NA,Nikolai Chernyshevsky:,
Curt John Ducasse,NA,,Roderick Chisholm:
Peter D. Klein,NA,Roderick Chisholm:,
Fred Feldman,NA,Roderick Chisholm:,
Selmer Bringsjord,NA,Roderick Chisholm:,
Dean Zimmerman,NA,Roderick Chisholm:,
Dale Jacquette,NA,Roderick Chisholm:,
Francis Crick,NA,,Patricia Churchland:
Karl Ludwig Michelet,NA,,August Cieszkowski:
Zygmunt Krasinski,NA,August Cieszkowski:,
Józef Kallenbach,NA,August Cieszkowski:,
Cyprian Norwid,NA,August Cieszkowski:,
Bronisław Trentowski,NA,August Cieszkowski:,
Józef Kremer,NA,August Cieszkowski:,
Philipp Mainländer,NA,,Emil Cioran:
Nicolas Chamfort,NA,,Emil Cioran:
Joseph Joubert,NA,,Emil Cioran:
Constantin Noica,NA,,Emil Cioran:
Emily Brontë,NA,,Emil Cioran:
Teresa of Ávila,NA,,Emil Cioran:
Thomas Ligotti,NA,Emil Cioran:,
Eugene Thacker,NA,Emil Cioran:,
Sphaerus,NA,Cleanthes:,
Alan Carter,NA,Gerald Cohen:,
Will Kymlicka,NA,Gerald Cohen:,
John McMurtry,NA,Gerald Cohen:,
Larry Temkin,NA,Gerald Cohen:,
Michael Otsuka,NA,Gerald Cohen:,
John Roemer,NA,Gerald Cohen:,
Euclid Tsakalotos,NA,Gerald Cohen:,
Jonathan Wolff,NA,Gerald Cohen:,
Paul Natorp,NA,Hermann Cohen:,
Henry E. Allison,NA,Hermann Cohen:,
Hugo Münsterberg,NA,,Morris Raphael Cohen:
Girolamo Savonarola,NA,,John Colet:
Guillaume Budé,NA,,John Colet:
J. A. Smith,NA,,R. G. Collingwood:
Guido de Ruggiero,NA,,R. G. Collingwood:
Bichat,NA,,Auguste Comte:
Saint-Simon,NA,,Auguste Comte:
Edward Spencer Beesly,NA,Auguste Comte:,
Frederic Harrison,NA,Auguste Comte:,
Bello,NA,Étienne Bonnot de Condillac:,
Turgot,NA,,Marquis de Condorcet:
Leonhard Euler,NA,,Marquis de Condorcet:
Liberalism,NA,Marquis de Condorcet:,
André Chénier,NA,Marquis de Condorcet:,
Thomas Clarkson,NA,Marquis de Condorcet:,
Jean-Marie Roland,NA,Marquis de Condorcet:,
Jacques Pierre Brissot,NA,Marquis de Condorcet:,
Xia,NA,,Confucius:
Shang,NA,,Confucius:
Zhou dynasties,NA,,Confucius:
I Ching,NA,,Confucius:
Book of Rites,NA,,Confucius:
Classic of Poetry,NA,,Confucius:
Chinese philosophy,NA,Confucius:,
Xun Kuang,NA,Confucius:,
Neotaoists,NA,Confucius:,
Neoconfucians,NA,Confucius:,
Allen Ginsberg,NA,Confucius:,
Robert Cummings Neville,NA,Confucius:,
Ezra Pound,NA,Confucius:,
François Quesnay,NA,Confucius:,
Massignon,NA,,Henry Corbin:
Tabataba'i,NA,,Henry Corbin:
Temenos Academy,NA,Henry Corbin:,
James Hillman,NA,Henry Corbin:,
Harold Bloom,NA,Henry Corbin:,
Charles Olson,NA,Henry Corbin:,
William Chittick,NA,Henry Corbin:,
Jean Philibert Damiron,NA,Victor Cousin:,
Jules Barthélemy Saint-Hilaire,NA,Victor Cousin:,
Charles de Rémusat,NA,Victor Cousin:,
Jules Simon,NA,Victor Cousin:,
Paul Janet,NA,Victor Cousin:,
Adolphe Franck,NA,Victor Cousin:,
Patrick Edward Dove,NA,Victor Cousin:,
Francesco de Sanctis,NA,,Benedetto Croce:
Eugenio Montale,NA,Benedetto Croce:,
Andy Warhol,NA,,Arthur Danto:
Noël Carroll,NA,Arthur Danto:,
David Carrier,NA,Arthur Danto:,
Charles Lyell,NA,,Charles Darwin:
Alexander von Humboldt,NA,,Charles Darwin:
Gilbert White,NA,,Charles Darwin:
Ernest Lepore,NA,Donald Davidson (philosopher):,
Kirk Ludwig,NA,Donald Davidson (philosopher):,
Robert Brandom,NA,Donald Davidson (philosopher):,
Jeff Malpas,NA,Donald Davidson (philosopher):,
Mark Bevir,NA,Donald Davidson (philosopher):,
Paglia,NA,Simone de Beauvoir:,
Friedan,NA,Simone de Beauvoir:,
Hoagland,NA,Simone de Beauvoir:,
Greer,NA,Simone de Beauvoir:,
Kim,NA,Simone de Beauvoir:,
Bible,NA,,Joseph de Maistre:
Church Fathers,NA,,Joseph de Maistre:
Fénelon,NA,,Joseph de Maistre:
Saint-Martin,NA,,Joseph de Maistre:
Bonald,NA,,Joseph de Maistre:
Saint-Bonnet,NA,Joseph de Maistre:,
von Haller,NA,Joseph de Maistre:,
Rosmini,NA,Joseph de Maistre:,
Barbey,NA,Joseph de Maistre:,
Bloy,NA,Joseph de Maistre:,
Benson,NA,Joseph de Maistre:,
Tolkien,NA,Joseph de Maistre:,
Walsh,NA,Joseph de Maistre:,
Ljotić,NA,Joseph de Maistre:,
Boutang,NA,Joseph de Maistre:,
Girard,NA,Joseph de Maistre:,
Lévi,NA,Joseph de Maistre:,
Isidore Isou,NA,,Guy Debord:
Frankfurt School,NA,,Guy Debord:
Andre Breton,NA,,Guy Debord:
Dada,NA,,Guy Debord:
May 1968,NA,Guy Debord:,
Paul Virilio,NA,Guy Debord:,
Post-left anarchy,NA,Guy Debord:,
Punk rock,NA,Guy Debord:,
Ken Knabb,NA,Guy Debord:,
Tiqqun,NA,Guy Debord:,
Alquié,NA,,Gilles Deleuze:
Bateson,NA,,Gilles Deleuze:
Burroughs,NA,,Gilles Deleuze:
Gandillac,NA,,Gilles Deleuze:
Klossowski,NA,,Gilles Deleuze:
Lawrence,NA,,Gilles Deleuze:
Simondon,NA,,Gilles Deleuze:
Uexküll,NA,,Gilles Deleuze:
Braidotti,NA,Gilles Deleuze:,
Bryant,NA,Gilles Deleuze:,
DeLanda,NA,Gilles Deleuze:,
Grosz,NA,Gilles Deleuze:,
Guattari,NA,Gilles Deleuze:,
Massumi,NA,Gilles Deleuze:,
Reynolds,NA,Gilles Deleuze:,
Pelbart,NA,Gilles Deleuze:,
Shapiro,NA,John Rawls:,
Stiegler,NA,Gilles Deleuze:,
Severino,NA,Democritus:,
Richard Dawkins,NA,,Daniel Dennett:
Sam Harris,NA,Daniel Dennett:,
Douglas Hofstadter,NA,Daniel Dennett:,
Geoffrey Miller,NA,Daniel Dennett:,
Peter Carruthers,NA,Daniel Dennett:,
Keith Frankish,NA,Daniel Dennett:,
Genet,NA,,Jacques Derrida:
Maebh Long,NA,Jacques Derrida:,
Geoffrey Hartman,NA,Jacques Derrida:,
John D. Caputo,NA,Jacques Derrida:,
James KA Smith,NA,Jacques Derrida:,
Catherine Malabou,NA,Jacques Derrida:,
Peter Rollins,NA,Jacques Derrida:,
Paul B. Preciado,NA,Jacques Derrida:,
Archimedes,NA,,René Descartes:
Elisabeth of the Palatinate,NA,,René Descartes:
Jacobus Golius,NA,,René Descartes:
Beeckman,NA,,René Descartes:
Viète,NA,,René Descartes:
George,NA,,Ludwig Klages:
Ward,NA,Peter Kropotkin:,
Parker,NA,,John Dewey:
Martin,NA,John Dewey:,
Makiguchi,NA,John Dewey:,
Greene,NA,,Lysander Spooner:
Richard McKeon,NA,John Dewey:,
Margaret Naumburg,NA,John Dewey:,
Anderson,NA,John Dewey:,
Park,NA,John Dewey:,
Herbert Schneider,NA,John Dewey:,
Mills,NA,John Dewey:,
Miguel de Cervantes,NA,,Denis Diderot:
Laurence Sterne,NA,,Denis Diderot:
Samuel Richardson,NA,,Denis Diderot:
François-Noël Babeuf,NA,Denis Diderot:,
Milan Kundera,NA,Denis Diderot:,
Günter Grass,NA,Denis Diderot:,
Jacques Barzun,NA,Denis Diderot:,
German Romanticism,NA,,Wilhelm Dilthey:
August Böckh,NA,,Wilhelm Dilthey:
Johann Gustav Droysen,NA,,Wilhelm Dilthey:
Franz Boas,NA,Wilhelm Dilthey:,
William Rankine,NA,,Pierre Duhem:
Willard Gibbs,NA,,Pierre Duhem:
Émile Jouguet,NA,Pierre Duhem:,
John Worrall,NA,Pierre Duhem:,
Stanley Jaki,NA,Pierre Duhem:,
Stephen Menn,NA,Pierre Duhem:,
L. E. J. Brouwer,NA,,Michael Dummett:
J. M. E. McTaggart,NA,,Michael Dummett:
Luciano Floridi,NA,Michael Dummett:,
Carlo Penco,NA,Michael Dummett:,
Ian Rumfitt,NA,Michael Dummett:,
Hans Sluga,NA,Michael Dummett:,
Barry Smith,NA,Michael Dummett:,
Andrew Kliman,NA,Raya Dunayevskaya:,
Kevin B. Anderson,NA,Raya Dunayevskaya:,
Cyril Smith,NA,Raya Dunayevskaya:,
André Gunder Frank,NA,,Enrique Dussel:
Mohammed Abed al-Jabri,NA,,Enrique Dussel:
Rupert Cross,NA,,Ronald Dworkin:
Learned Hand,NA,,Ronald Dworkin:
Robert Alexy,NA,Ronald Dworkin:,
Jeremy Waldron,NA,Ronald Dworkin:,
Johannes Scottus Eriugena,NA,,Meister Eckhart:
Henry VIII,NA,Meister Eckhart:,
Huldrych Zwingli,NA,Meister Eckhart:,
Eckhart Tolle,NA,Meister Eckhart:,
Gustav Landauer,NA,Meister Eckhart:,
Matthew Fox,NA,Meister Eckhart:,
D. T. Suzuki,NA,Meister Eckhart:,
Arthur Conan Doyle,NA,,Umberto Eco:
Hendrik Lorentz,NA,,Albert Einstein:
Hermann Minkowski,NA,,Albert Einstein:
Michele Besso,NA,,Albert Einstein:
Thomas Young,NA,,Albert Einstein:
modern physicists,NA,Albert Einstein:,
Mary Moody Emerson,NA,,Ralph Waldo Emerson:
de Gérando,NA,,Ralph Waldo Emerson:
Hafez,NA,,Ralph Waldo Emerson:
de Staël,NA,,Ralph Waldo Emerson:
Swedenborg,NA,,Ralph Waldo Emerson:
Muir,NA,Ralph Waldo Emerson:,
Whitman,NA,Ralph Waldo Emerson:,
Pythagoreanism,NA,,Empedocles:
Critias,NA,Empedocles:,
Morgan,NA,,Friedrich Engels:
List of Marxists,NA,Friedrich Engels:,
Arrian,NA,Epictetus:,
Albert Ellis,NA,Epictetus:,
Han Ryner,NA,Epictetus:,
James Stockdale,NA,Epictetus:,
Nausiphanes,NA,,Epicurus:
Hermarchus,NA,Epicurus:,
Metrodorus,NA,Epicurus:,
Epicureanism,NA,,Desiderius Erasmus:
Alexander Hegius,NA,,Desiderius Erasmus:
Jan Standonck,NA,,Desiderius Erasmus:
St. Pius V,NA,Desiderius Erasmus:,
St. Peter Canisius,NA,Desiderius Erasmus:,
St. Ignatius of Loyola,NA,Desiderius Erasmus:,
St. Francis Xavier,NA,Desiderius Erasmus:,
St. Philip Neri,NA,Desiderius Erasmus:,
St. Charles Borromeo,NA,Desiderius Erasmus:,
St. Francis De Sales,NA,Desiderius Erasmus:,
William Tyndale,NA,Desiderius Erasmus:,
Jacob Milich,NA,Desiderius Erasmus:,
Wolfgang Capito,NA,Desiderius Erasmus:,
Cappadocian Fathers,NA,,Johannes Scotus Eriugena:
St. Maximus the Confessor,NA,,Johannes Scotus Eriugena:
Berengar of Tours,NA,Johannes Scotus Eriugena:,
School of Chartres,NA,Johannes Scotus Eriugena:,
Bernardus Silvestris,NA,Johannes Scotus Eriugena:,
Honorius of Autun,NA,Johannes Scotus Eriugena:,
Israel the Grammarian,NA,Johannes Scotus Eriugena:,
Amaury of Bene,NA,Johannes Scotus Eriugena:,
Alain de Lille,NA,Johannes Scotus Eriugena:,
Teichmüller,NA,,Rudolf Christoph Eucken:
W. R. Boyce Gibson,NA,Rudolf Christoph Eucken:,
Abel J. Jones,NA,Rudolf Christoph Eucken:,
Evelyn Underhill,NA,Rudolf Christoph Eucken:,
Douglas John Hall,NA,Emil Fackenheim:,
James Doull,NA,Emil Fackenheim:,
Négritude,NA,,Frantz Fanon:
Aimé Césaire,NA,,Frantz Fanon:
Afro-pessimism,NA,Frantz Fanon:,
Hortense Spillers,NA,Frantz Fanon:,
Edward Said,NA,Frantz Fanon:,
Ngugi wa Thiong'o,NA,Frantz Fanon:,
Ali Shariati,NA,Frantz Fanon:,
Steve Biko,NA,Frantz Fanon:,
Malcolm X,NA,Frantz Fanon:,
Che Guevara,NA,Frantz Fanon:,
Huey P. Newton,NA,Frantz Fanon:,
Bobby Seale,NA,Frantz Fanon:,
Lewis Gordon,NA,Frantz Fanon:,
Abu Sulayman Sijistani,NA,Al-Farabi:,
Al Amiri,NA,Al-Farabi:,
Abū Hayyān al-Tawhīdī,NA,Al-Farabi:,
Hans Hahn,NA,,Herbert Feigl:
Hans Thirring,NA,,Herbert Feigl:
Karl Bühler,NA,,Herbert Feigl:
Jules Coleman,NA,Joel Feinberg:,
Eugeni d'Ors,NA,,Jose Ferrater-Mora:
Oscar Horta,NA,Jose Ferrater-Mora:,
Daub,NA,,Ludwig Andreas Feuerbach:
Malaka,NA,Ludwig Andreas Feuerbach:,
Wagner,NA,Ludwig Andreas Feuerbach:,
Ehrenhaft,NA,,Paul Feyerabend:
McCloskey,NA,Paul Feyerabend:,
Murphy,NA,Paul Feyerabend:,
Nader,NA,Paul Feyerabend:,
McKenna,NA,Paul Feyerabend:,
Ernst Platner,NA,,Gottlieb Fichte:
Immanuel Hermann Fichte,NA,Gottlieb Fichte:,
Dieter Henrich,NA,Gottlieb Fichte:,
August Ludwig Hülsen,NA,Gottlieb Fichte:,
Karl August von Eschenmayer,NA,Gottlieb Fichte:,
Ludwig Tieck,NA,Gottlieb Fichte:,
Tyrrell,NA,Robert Filmer:,
Sidney,NA,Robert Filmer:,
Moldbug,NA,Robert Filmer:,
John Pentland Mahaffy,NA,Kuno Fischer:,
Francis Galton,NA,,John Fiske (philosopher):
Paul Broca,NA,,John Fiske (philosopher):
Sydney Morgenbesser,NA,,Jerry Fodor:
Franz Joseph Gall,NA,,Jerry Fodor:
Zenon Pylyshyn,NA,Jerry Fodor:,
Steven Pinker,NA,Jerry Fodor:,
Candace Vogler,NA,Philippa Foot:,
Michael Slote,NA,Philippa Foot:,
Rosalind Hursthouse,NA,Philippa Foot:,
Artaud,NA,,Michel Foucault:
Goffman,NA,,Michel Foucault:
Lagache,NA,,Michel Foucault:
Talal Asad,NA,Michel Foucault:,
Hubert Dreyfus,NA,Michel Foucault:,
Stephen Greenblatt,NA,Michel Foucault:,
David Halperin,NA,Michel Foucault:,
Saba Mahmood,NA,Michel Foucault:,
Paul Rabinow,NA,Michel Foucault:,
Nicolas-Edme Rétif,NA,,Charles Fourier:
Émile Armand,NA,Charles Fourier:,
Hakim Bey,NA,Charles Fourier:,
Bob Black,NA,Charles Fourier:,
Nikolay Chernyshevsky,NA,Charles Fourier:,
Jean-Baptiste André Godin,NA,Charles Fourier:,
Paul Goodman,NA,Charles Fourier:,
David Harvey,NA,Charles Fourier:,
Raoul Vaneigem,NA,Charles Fourier:,
Susan Wolf,NA,Harry Frankfurt:,
J. David Velleman,NA,Harry Frankfurt:,
Pamela Hieronymi,NA,Harry Frankfurt:,
John Martin Fischer,NA,Harry Frankfurt:,
Michael Forster,NA,Michael Frede:,
Ernst Abbe,NA,,Gottlob Frege:
analytic tradition,NA,Gottlob Frege:,
William Placher,NA,Hans Wilhelm Frei:,
List of psychoanalysts,NA,Sigmund Freud:,
List of psychoanalytical theorists,NA,Sigmund Freud:,
Otto Fritz Meyerhof,NA,Jakob Friedrich Fries:,
Alfred Weber,NA,,Erich Fromm:
Elias Porter,NA,Erich Fromm:,
Chögyam Trungpa,NA,Erich Fromm:,
Konstantin Tsiolkovsky,NA,Nikolai Fyodorovich Fyodorov:,
Vladimir Vernadsky,NA,Nikolai Fyodorovich Fyodorov:,
Transhumanism,NA,Nikolai Fyodorovich Fyodorov:,
Pierre Clastres,NA,,Marcel Gauchet:
Ernst H. Kantorowicz,NA,,Marcel Gauchet:
Peter Vallentyne,NA,David Gauthier:,
Geoffrey Sayre-McCord,NA,David Gauthier:,
Jan Narveson,NA,David Gauthier:,
C. J. F. Williams,NA,Peter Geach:,
Bertrando Spaventa,NA,,Giovanni Gentile:
Giuseppe Mazzini,NA,,Giovanni Gentile:
Giovanni Treccani,NA,Giovanni Gentile:,
Ugo Spirito,NA,Giovanni Gentile:,
Benito Mussolini,NA,Giovanni Gentile:,
Giuseppe Bottai,NA,Giovanni Gentile:,
Luigi Federzoni,NA,Giovanni Gentile:,
Margherita Sarfatti,NA,Giovanni Gentile:,
A. James Gregor,NA,Giovanni Gentile:,
Armando Carlini,NA,Giovanni Gentile:,
Harith al-Muhasibi,NA,,Al-Ghazali:
Abu Bakr ibn al-Arabi,NA,Al-Ghazali:,
Ayn al-Quzat Hamadani,NA,Al-Ghazali:,
Al-Nawawi,NA,Al-Ghazali:,
Ibn Tumart,NA,Al-Ghazali:,
Suyuti,NA,Al-Ghazali:,
Shah Waliullah Dehlawi,NA,Al-Ghazali:,
Sayf al-Din al-Amidi,NA,Al-Ghazali:,
Asad Mayhani,NA,Al-Ghazali:,
Ali al-Qari,NA,Al-Ghazali:,
Muhammad Ibn Yahya al-Janzi,NA,Al-Ghazali:,
Richard Brandt,NA,,Allan Gibbard:
Michael Bratman,NA,,Allan Gibbard:
Charles Stevenson,NA,,Allan Gibbard:
Thomas of Strasburg,NA,Giles of Rome:,
John F. X. Knasas,NA,Étienne Gilson:,
Norman Geisler,NA,Étienne Gilson:,
Vatican II,NA,Étienne Gilson:,
Dorothy Day,NA,Étienne Gilson:,
Thomas Merton,NA,Étienne Gilson:,
Herbert Read,NA,William Godwin:,
Percy Bysshe Shelley,NA,William Godwin:,
Max Adler,NA,,Lucien Goldmann:
Israel Scheffler,NA,Nelson Goodman:,
Kendall Walton,NA,Nelson Goodman:,
Catherine Elgin,NA,Nelson Goodman:,
Publilius Syrus,NA,,Baltasar Gracián y Morales:
Amadeo Bordiga,NA,,Antonio Gramsci:
William K. Carroll,NA,Antonio Gramsci:,
New Left,NA,Antonio Gramsci:,
James Lovelock,NA,,John Gray (philosopher):
F. D. Maurice,NA,,Thomas Hill Green:
Leonard Hobhouse,NA,Thomas Hill Green:,
C. B. Macpherson,NA,Thomas Hill Green:,
J. H. Muirhead,NA,Thomas Hill Green:,
R. L. Nettleship,NA,Thomas Hill Green:,
David George Ritchie,NA,Thomas Hill Green:,
Petrus Aureolus,NA,,Gregory of Rimini:
Henry of Langenstein,NA,Gregory of Rimini:,
Hugolino of Orvieto,NA,Gregory of Rimini:,
Pierre Ceffons,NA,Gregory of Rimini:,
Pope Alexander V,NA,Gregory of Rimini:,
Stephen Schiffer,NA,Paul Grice:,
Dan Sperber,NA,Paul Grice:,
Deirdre Wilson,NA,Paul Grice:,
Stephen Neale,NA,Paul Grice:,
Kent Bach,NA,Paul Grice:,
Stephen Levinson,NA,Paul Grice:,
Alberico Gentili,NA,,Hugo Grotius:
Gustav II Adolf,NA,Hugo Grotius:,
Samuel von Pufendorf,NA,Hugo Grotius:,
Cornelius van Bynkershoek,NA,Hugo Grotius:,
Jean Barbeyrac,NA,Hugo Grotius:,
Parsons,NA,,Jürgen Habermas:
Abendroth,NA,,Jürgen Habermas:
Offe,NA,Jürgen Habermas:,
Forst,NA,Jürgen Habermas:,
Gould,NA,Jürgen Habermas:,
McCarthy,NA,Jürgen Habermas:,
Fraser,NA,Jürgen Habermas:,
Friedman,NA,Adam Smith:,
Milbank,NA,Johann Georg Hamann:,
John Veitch,NA,Sir William Hamilton, 9th Baronet:,
John E. Hare,NA,R. M. Hare:,
Brian McGuinness,NA,R. M. Hare:,
Aaron Sloman,NA,R. M. Hare:,
Gary Varner,NA,R. M. Hare:,
Joshua Knobe,NA,Gilbert Harman:,
Norman P. Barry,NA,H. L. A. Hart:,
John Gardner,NA,H. L. A. Hart:,
Leslie Green,NA,H. L. A. Hart:,
Tony Honoré,NA,H. L. A. Hart:,
Laurence Houlgate,NA,H. L. A. Hart:,
Paul Kelly,NA,H. L. A. Hart:,
Neil MacCormick,NA,H. L. A. Hart:,
Johannes Rehmke,NA,Eduard Von Hartmann:,
Jitendra Nath Mohanty,NA,Nicolai Hartmann:,
John B. Cobb,NA,Charles Hartshorne:,
David Ray Griffin,NA,Charles Hartshorne:,
Bluntschli,NA,Georg Wilhelm Friedrich Hegel:,
Bueno,NA,Georg Wilhelm Friedrich Hegel:,
Chalybäus,NA,Georg Wilhelm Friedrich Hegel:,
Fukuyama,NA,Georg Wilhelm Friedrich Hegel:,
Küng,NA,Georg Wilhelm Friedrich Hegel:,
Pippin,NA,Georg Wilhelm Friedrich Hegel:,
Rose,NA,Georg Wilhelm Friedrich Hegel:,
Rosenkranz,NA,Georg Wilhelm Friedrich Hegel:,
Russon,NA,Georg Wilhelm Friedrich Hegel:,
Stein,NA,Georg Wilhelm Friedrich Hegel:,
Laozi,NA,,Martin Heidegger:
Lask,NA,,Martin Heidegger:
Beaufret,NA,Martin Heidegger:,
Borgmann,NA,Martin Heidegger:,
Dugin,NA,Martin Heidegger:,
Harman,NA,Martin Heidegger:,
Jonas,NA,Martin Heidegger:,
Kuki,NA,Martin Heidegger:,
Löwith,NA,Martin Heidegger:,
Marion,NA,Martin Heidegger:,
Norberg-Schulz,NA,Martin Heidegger:,
Schürmann,NA,Martin Heidegger:,
György Márkus,NA,,Ágnes Heller:
Philip Kitcher,NA,Carl Gustav Hempel:,
Peter Achinstein,NA,Carl Gustav Hempel:,
Lawrence Sklar,NA,Carl Gustav Hempel:,
Wesley C. Salmon,NA,Carl Gustav Hempel:,
Bias of Priene,NA,,Heraclitus:
Heracliteans,NA,Heraclitus:,
Moritz Wilhelm Drobisch,NA,Johann Friedrich Herbart:,
Gustav Hartenstein,NA,Johann Friedrich Herbart:,
Kalidasa,NA,,Johann Gottfried Herder:
Thomas Abbt,NA,,Johann Gottfried Herder:
Thomas Blackwell,NA,,Johann Gottfried Herder:
Ľudovít Štúr,NA,Johann Gottfried Herder:,
Johann Christoph Adelung,NA,Johann Gottfried Herder:,
Walter Rauschenbusch,NA,Johann Gottfried Herder:,
Stalin,NA,Alexander Herzen:,
Castro,NA,Alexander Herzen:,
Irenaeus,NA,,John Hick:
John Baillie,NA,,John Hick:
Wilfred Cantwell Smith,NA,,John Hick:
Old Testament,NA,,Hildegard of Bingen:
Genesis,NA,,Hildegard of Bingen:
New Testament,NA,,Hildegard of Bingen:
John the Evangelist,NA,,Hildegard of Bingen:
Jutta von Sponheim,NA,,Hildegard of Bingen:
Eugene III,NA,Hildegard of Bingen:,
Elisabeth of Schönau,NA,Hildegard of Bingen:,
Anastasius IV,NA,Hildegard of Bingen:,
Abbot Suger,NA,Hildegard of Bingen:,
Frederick I Barbarossa,NA,Hildegard of Bingen:,
Volmar,NA,Hildegard of Bingen:,
Margot Fassler,NA,Hildegard of Bingen:,
Mélanie Lipinska,NA,Hildegard of Bingen:,
constructed language,NA,Hildegard of Bingen:,
New Age movement,NA,Hildegard of Bingen:,
Grace McLean,NA,Hildegard of Bingen:,
Paolo Sarpi,NA,,Thomas Hobbes:
Thomas White,NA,,Thomas Hobbes:
political,NA,Thomas Hobbes:,
legal,NA,Thomas Hobbes:,
sociology,NA,Thomas Hobbes:,
Desmoulins,NA,Baron d'Holbach:,
Marat,NA,Baron d'Holbach:,
Weishaupt,NA,Baron d'Holbach:,
Paul Kurtz,NA,Sidney Hook:,
Morris Janowitz,NA,Sidney Hook:,
Lionel Trilling,NA,Sidney Hook:,
Barbara Branden,NA,Sidney Hook:,
Pollock,NA,,Max Horkheimer:
Li Ao,NA,Hu Shih:,
August Schleicher,NA,Wilhelm von Humboldt:,
Alexander Potebnja,NA,Wilhelm von Humboldt:,
Hamilton,NA,David Hume:,
Madison,NA,David Hume:,
John Wycliffe,NA,,Jan Hus:
John Wesley,NA,Jan Hus:,
Jerome of Prague,NA,Jan Hus:,
Weierstrass,NA,,Edmund Husserl:
Blumenberg,NA,Edmund Husserl:,
Farber,NA,Edmund Husserl:,
Gallagher,NA,Edmund Husserl:,
Köchler,NA,Edmund Husserl:,
Mises,NA,Edmund Husserl:,
Przywara,NA,Edmund Husserl:,
Willard,NA,Edmund Husserl:,
Wojtyła,NA,Edmund Husserl:,
Zahavi,NA,Edmund Husserl:,
Edward Forbes,NA,,Thomas Henry Huxley:
Henry Fairfield Osborn,NA,Thomas Henry Huxley:,
H. G. Wells,NA,Thomas Henry Huxley:,
E. Ray Lankester,NA,Thomas Henry Huxley:,
William Henry Flower,NA,Thomas Henry Huxley:,
Julian Huxley,NA,Thomas Henry Huxley:,
Hubert Harrison,NA,Thomas Henry Huxley:,
Theon of Alexandria,NA,,Hypatia of Alexandria:
Synesius of Cyrene,NA,Hypatia of Alexandria:,
Gérard Granel,NA,Jean Hyppolite:,
Neopythagoreanism,NA,,Iamblichus (philosopher):
Aedesius,NA,Iamblichus (philosopher):,
Qur'an,NA,,Ibn Arabi:
Hadith,NA,,Ibn Arabi:
Abu Madyan,NA,,Ibn Arabi:
al-Tamimi,NA,,Ibn Arabi:
Ibn Barrajan,NA,,Ibn Arabi:
Ibn al-Arif,NA,,Ibn Arabi:
Ibn Qasi,NA,,Ibn Arabi:
Qunawi,NA,Ibn Arabi:,
Ibn al-Farid,NA,Ibn Arabi:,
Sidi Bou Said,NA,Ibn Arabi:,
al-Shushtari,NA,Ibn Arabi:,
Hamadani,NA,Ibn Arabi:,
Fairuzabadi,NA,Ibn Arabi:,
al-Jīlī,NA,Ibn Arabi:,
Amuli,NA,Ibn Arabi:,
'Iraqi,NA,Ibn Arabi:,
Shabestari,NA,Ibn Arabi:,
Qayṣarī,NA,Ibn Arabi:,
al-Fanārī,NA,Ibn Arabi:,
Ni'matullah,NA,Ibn Arabi:,
Jami,NA,Ibn Arabi:,
Yahya Efendi,NA,Ibn Arabi:,
Bitlisi,NA,Ibn Arabi:,
al-Sha'rani,NA,Ibn Arabi:,
Hamzah Fansuri,NA,Ibn Arabi:,
Abd al-Ghani,NA,Ibn Arabi:,
Ahmed Mohammed al-Maqqari,NA,Ibn Arabi:,
Ismail Hakki Bursevi,NA,Ibn Arabi:,
Yusuf an-Nabhani,NA,Ibn Arabi:,
Ibn Ajiba,NA,Ibn Arabi:,
Abdelkader,NA,Ibn Arabi:,
al-Alawi,NA,Ibn Arabi:,
Valsan,NA,Ibn Arabi:,
Mahmoud,NA,Ibn Arabi:,
Schuon,NA,Ibn Arabi:,
Nurbakhsh,NA,Ibn Arabi:,
Nursî,NA,Ibn Arabi:,
