,name,birth,incoming_links,outgoing_links,page,latitude,longitude
87,Tabataba'i,1904-1981,,Henry Corbin:,/wiki/Muhammad_Husayn_Tabatabai,38.067,46.3
88,Nicolai Hartmann,1882-1950,Immanuel Kant:Plato:Max Scheler:Paul Natorp:Hermann Cohen:G. W. F. Hegel:,Max Scheler:Martin Heidegger:Jitendra Nath Mohanty:,/wiki/Nicolai_Hartmann,56.94889,24.10639
89,Katherine Boyle Jones,1615-1691,,Robert Boyle:,"/wiki/Katherine_Jones,_Viscountess_Ranelagh",FILL,FILL
90,Karl Julius Schröer,1825-1900,,Rudolf Steiner:,/wiki/Karl_Julius_Schr%C3%B6er,FILL,FILL
91,de Staël,1766-1817,,Ralph Waldo Emerson:,/wiki/Germaine_de_Sta%C3%ABl,48.856613,2.352222
92,Curt Ducasse,1881-1969,Josiah Royce:William James:,Roderick Chisholm:Wilfrid Sellars:,/wiki/Curt_Ducasse,45.65,0.16
93,Fyodor Dostoyevsky,1821-1881,,Mikhail Bakhtin:,/wiki/Fyodor_Dostoevsky,FILL,FILL
94,Rockingham,1730-1782,,Edmund Burke:,"/wiki/Charles_Watson-Wentworth,_2nd_Marquess_of_Rockingham",FILL,FILL
95,Harry Frankfurt,1929-2029,Kant:Descartes:Wittgenstein:,Susan Wolf:J. David Velleman:Pamela Hieronymi:John Martin Fischer:,/wiki/Harry_Frankfurt,40.1775,-74.91889
96,Joseph Butler,1692-1752,Plato:Thomas Hobbes:Samuel Clarke:John Locke:Francis Hutcheson:,Edmund Burke:C. S. Lewis:David Seabury:David Hume:Jeremy Bentham:John Warwick Montgomery:Adam Smith:Thomas Reid:William Paley:,/wiki/Joseph_Butler,FILL,FILL
97,John Chrysostum,347-407,,John of Damascus:,/wiki/John_Chrysostom,FILL,FILL
98,Bertrand Russell,1872-1970,Moore:Stout:Shelley:James:Spinoza:Hume:Boole:Leibniz:De Morgan:Cantor:Sidgwick:Frege:Mill:Ward:Mach:Santayana:Euclid:Kant:Meinong:Whitehead:Peano:Wittgenstein:,Stephen Hawking:Jacob Bronowski:Robert Oppenheimer:Herbert A. Simon:Txillardegi:A. C. Grayling:Richard Dawkins:Moritz Schlick:Christopher Hitchens:Michael Albert:Paul Kurtz:Joseph Rotblat:Frank Wilczek:Alfred Tarski:Vienna Circle:Colin McGinn:John von Neumann:G. H. Hardy:Jawaharlal Nehru:Isaac Asimov:Donald Davidson:Aleksandr Solzhenitsyn:Marvin Minsky:Buckminster Fuller:A. J. Ayer:Kurt Grelling:John Maynard Keynes:Noam Chomsky:Sidney Hook:Che Guevara:Kurt Gödel:Nathan Salmon:Isaiah Berlin:Rudolf Carnap:Leon Chwistek:Andrei Sakharov:Ray Kurzweil:Karl Popper:Saul Kripke:Martin Gardner:Pervez Hoodbhoy:W. V. Quine:Hilary Putnam:Norbert Wiener:Albert Ellis:Alan Turing:James Joyce:Frank P. Ramsey:Bernard Williams:Thomas Kuhn:Ludwig Wittgenstein:Kurt Vonnegut:John Searle:Edward Said:Daniel Dennett:Carl Sagan:J. L. Austin:Tariq Ali:B. F. Skinner:,/wiki/Bertrand_Russell,51.74506,-2.7256
99,Paolo Sarpi,1552-1623,,Thomas Hobbes:,/wiki/Paolo_Sarpi,FILL,FILL
100,Aenesidemus,BC 80-10,Pyrrho:Heraclitus:Timon:,Favorinus:Plutarch:Sextus Empiricus:,/wiki/Aenesidemus,35.29806,25.16306
101,Pietro Giordani,1774-1848,,Giacomo Leopardi:,/wiki/Pietro_Giordani,FILL,FILL
102,Moltzer,1874-1944,,Carl Jung:,/wiki/Maria_Moltzer,52.367,4.9
103,Aruni,BC 800-700,,Yajnavalkya:,/wiki/Aruni,FILL,FILL
104,Samuel Beckett,1906-1989,,Alain Badiou:,/wiki/Samuel_Beckett,FILL,FILL
105,Emerich de Vattel,1714-1767,Christian Wolff:Gottfried Wilhelm Leibniz:Samuel Puffendorf:Jean-Jacques Burlamaqui:Hugo Grotius:,George Washington:Western philosophers:Alexander Hamilton:Benjamin Franklin:,/wiki/Emerich_de_Vattel,46.917,6.633
106,J. L. Austin,1911-1960,Aristotle:Immanuel Kant:Plato:Gottfried Wilhelm Leibniz:G. E. Moore:John Cook Wilson:Gilbert Ryle:Harold Arthur Prichard:,Jürgen Habermas:Judith Butler:Stanley Cavell:John Searle:Rom Harré:,/wiki/J._L._Austin,54.047,-2.801
107,Philip K. Dick,1928-1982,,Fredric Jameson:,/wiki/Philip_K._Dick,FILL,FILL
108,Chou Tun-Yi,1017-1073,Mencius:Confucius:,Zhu Xi:Cheng Yi:Cheng Hao:,/wiki/Chou_Tun-Yi,FILL,FILL
109,Thomas Blackwell,1701-1757,,Johann Gottfried Herder:,/wiki/Thomas_Blackwell_(scholar),57.15,-2.11
110,Félix Ravaisson-Mollien,,,Henri Bergson:,/wiki/F%C3%A9lix_Ravaisson-Mollien,50.467,4.867
111,Leszek Kołakowski,1927-2009,Immanuel Kant:Friedrich Engels:Karl Marx:György Lukács:G. W. F. Hegel:Baruch Spinoza:,Solidarity:José Guilherme Merquior:Noam Chomsky:Christopher Hitchens:,/wiki/Leszek_Ko%C5%82akowski,51.40361,21.15667
112,Jean Hyppolite,1907-1968,Jean Cavaillès:Karl Marx:Georg Wilhelm Friedrich Hegel:,Jacques Derrida:Michel Foucault:Alain Badiou:Gilles Deleuze:Étienne Balibar:Gérard Granel:,/wiki/Jean_Hyppolite,45.4467,-0.4336
113,Hans Kelsen,1881-1973,Hume:Kant:Vaihinger:Hermann Cohen:,de:Kunz:Bobbio:Hart:Dreier:Merkl:,/wiki/Hans_Kelsen,50.083,14.417
114,Jerry Fodor,1935-2017,Søren Kierkegaard:Sydney Morgenbesser:Hilary Putnam:Franz Joseph Gall:Noam Chomsky:David Hume:,Ernest Lepore:Zenon Pylyshyn:Steven Pinker:,/wiki/Jerry_Fodor,40.71278,-74.00611
115,Serbian epic poetry,,,Petar II Petrović-Njegoš:,/wiki/Serbian_epic_poetry,FILL,FILL
116,John Wyclif,1330-1384,Thomas Bradwardine:Richard Fitzralph:Roger Bacon:William of Ockham:Robert Grosseteste:Augustine of Hippo:,William Tyndale:Huldrych Zwingli:Martin Luther:Henry VIII:John Calvin:Jan Hus:,/wiki/John_Wyclif,54.38,-1.719
117,Hobsbawm,1917-2012,,Ernesto Laclau:,/wiki/Eric_Hobsbawm,FILL,FILL
118,Rachel Carson,1907-1964,,Arne Næss:,/wiki/Rachel_Carson,FILL,FILL
119,Edward Caird,1835-1908,Benjamin Jowett:,Henry Jones:John Watson:,/wiki/Edward_Caird,55.95,-4.765
120,Founding Fathers,,,Leo Strauss:,/wiki/Founding_Fathers_of_the_United_States,FILL,FILL
121,Parmenides,BC 515-415,Heraclitus:Xenophanes of Colophon:,Nietzsche:Melissus of Samos:Eleatic School:Meinong:Plato:Spinoza:Socrates:Leibniz:Zeno of Elea:Empedocles:Anaxagoras:Heidegger:Emanuele Severino:,/wiki/Parmenides,40.16083,15.155
122,Parsons,,,Jürgen Habermas:,/wiki/Talcott_Parsons,38.83389,-104.82528
123,Bleuler,,,Carl Jung:,/wiki/Eugen_Bleuler,47.333,8.583
124,Tinbergen,,,Maurice Merleau-Ponty:,/wiki/Nikolaas_Tinbergen,52.08,4.31
125,Ralph Waldo Emerson,(1803–1882),Carlyle:de Gérando:Cousin:Montaigne:Swedenborg:de Staël:Hafez:Mary Moody Emerson:Coleridge:Descartes:,Nietzsche:Thoreau:Marx:James:Freud:Whitman:Muir:Harold Bloom:,/wiki/Ralph_Waldo_Emerson,42.35806,-71.06361
126,Gottlob Ernst Schulze,(1761–1833),David Hume:Immanuel Kant:,Johann Gottlieb Fichte:,/wiki/Gottlob_Ernst_Schulze,51.30139,11.21667
127,Ibn al-Haytham,,,Roger Bacon:,/wiki/Ibn_al-Haytham,30.5,47.817
128,Marquis de Condorcet,(1743–1794),Leonhard Euler:Jean le Rond d'Alembert:Voltaire:Benjamin Franklin:Jean-Jacques Rousseau:Turgot:,André Chénier:Charles Darwin:Pierre Jean George Cabanis:Karl Marx:Sigmund Freud:Liberalism:Thomas Clarkson:Jean-Marie Roland:Henri de Saint-Simon:Friedrich Nietzsche:Jacques Pierre Brissot:,/wiki/Marquis_de_Condorcet,FILL,FILL
