,name,birth,incoming_links,outgoing_links,page,latitude,longitude
255,Pierre Duhem, (1861–1916),Blaise Pascal:William Rankine:Ernst Mach:Willard Gibbs:,John Worrall:Thomas Kuhn:Stephen Menn:Émile Jouguet:Stanley Jaki:,/wiki/Pierre_Duhem,48.856613,2.352222
256,Nishida Kitaro,,,Nishitani Keiji:,/wiki/Kitaro_Nishida,36.719806,136.706694
257,Varro,,,Giambattista Vico:,/wiki/Marcus_Terentius_Varro,FILL,FILL
258,René Guénon,,,Georges Bataille:,/wiki/Ren%C3%A9_Gu%C3%A9non,47.5939,1.3281
259,Karl Bühler,,,Herbert Feigl:,/wiki/Karl_B%C3%BChler,49.32139,8.81528
260,Isidore Isou,,,Guy Debord:,/wiki/Isidore_Isou,47.74861,26.66944
261,Auguste Comte, (1798–1857),Maistre:Bichat:Bacon:Condorcet:Diderot:Ibn Khaldun:Descartes:Saint-Simon:,Émile Durkheim:Eugen Dühring:Edward Spencer Beesly:Charles Darwin:George Henry Lewes:Karl Marx:Sigmund Freud:John Stuart Mill:Herbert Spencer:Pierre Laffitte:Harriet Martineau:Charles Maurras:Leo Strauss:Émile Littré:Friedrich Nietzsche:Frederic Harrison:,/wiki/Auguste_Comte,43.6119,3.8772
262,Demetrios Kydones,,,Gemistus Pletho:,/wiki/Demetrios_Kydones,FILL,FILL
263,Herbert Butterfield,,,Thomas Samuel Kuhn:,/wiki/Herbert_Butterfield,53.812,-1.952
264,Parker,,,John Dewey:,/wiki/Francis_Wayland_Parker,FILL,FILL
265,Blaise Pascal, (1623–1662),Epictetus:Cornelius Jansen:Evangelista Torricelli:Michel de Montaigne:René Descartes:St. Augustine of Hippo:Gilles de Roberval:Étienne Pascal:Gerolamo Cardano:,Antoine Arnauld:William Lane Craig:Pierre Duhem:William James:Henri Bergson:Alexis de Tocqueville:G. W. Leibniz:Léon Brunschvicg:,/wiki/Blaise_Pascal,45.7831,3.0824
266,Friedrich Schleiermacher, (1768–1834),Immanuel Kant:Plato:Johann August Ernesti:K. W. F. Schlegel:J. G. Fichte:Johann Gottfried Herder:F. W. J. Schelling:Friedrich Ast:Baruch Spinoza:Friedrich August Wolf:,Albrecht Ritschl:Wilhelm Dilthey:Antoine Berman:Walter Rauschenbusch:Daphne Hampson:Paul Tillich:Karl Barth:Hans-Georg Gadamer:August Böckh:Rudolf Bultmann:Manfred Frank:Friedrich Adolf Trendelenburg:Heinrich Ritter:L. Harold DeWolf:Friedrich Ueberweg:,/wiki/Friedrich_Schleiermacher,51.11,17.0325
267,Herbert Spencer, (1820–1903),Aristotle:Auguste Comte:George Henry Lewes:Charles Darwin:John Stuart Mill:Jean-Baptiste Lamarck:Thomas Henry Huxley:,Henry Sidgwick:Émile Durkheim:Charles Darwin:Jorge Luis Borges:Auberon Herbert:Henri Bergson:William Graham Sumner:Jack London:Murray Rothbard:,/wiki/Herbert_Spencer,52.917,-1.467
268,Michele Besso,,,Albert Einstein:,/wiki/Michele_Besso,FILL,FILL
269,Alciato,,,John Selden:,/wiki/Andrea_Alciato,FILL,FILL
270,Carl Vogt, (1817–1895),Justus von Liebig:Louis Agassiz:,Ivan Pavlov:,/wiki/Carl_Vogt,50.58333,8.66667
271,Max Adler,,,Lucien Goldmann:,/wiki/Max_Adler_(Marxist),48.2,16.367
272,Xia,,,Confucius:,/wiki/Xia_dynasty,FILL,FILL
273,Talmon,,,Leo Strauss:,/wiki/Jacob_Talmon,FILL,FILL
274,Muhammad bin Dawud al-Zahiri,,,Ibn Hazm:,/wiki/Muhammad_bin_Dawud_al-Zahiri,FILL,FILL
275,Henri Poincaré, (1854–1912),Ernst Mach:Immanuel Kant:Lazarus Fuchs:,Albert Einstein:George David Birkhoff:Louis Rougier:,/wiki/Henri_Poincar%C3%A9,48.6936,6.1846
276,Alquié,,,Gilles Deleuze:,/wiki/Ferdinand_Alqui%C3%A9,FILL,FILL
277,Eugeni d'Ors,,,Jose Ferrater-Mora:,/wiki/Eugeni_d%27Ors,FILL,FILL
278,Nikolai Fyodorovich Fyodorov, (1828–1906),,Konstantin Tsiolkovsky:Transhumanism:Vladimir Vernadsky:,/wiki/Nikolai_Fyodorovich_Fyodorov,52.7167,41.4333
279,Erich Auerbach,,,Fredric Jameson:,/wiki/Erich_Auerbach,FILL,FILL
280,Hibat Allah Abu'l-Barakat al-Baghdaadi, (1080–1165),Ibn Sina:,Fakhr al-Din al-Razi:Shahab al-Din Suhrawardi:Abraham Ibn Ezra:Samauʼal Al-Maghribī:Jean Buridan:Albert of Saxony:Ibn Kammuna:,/wiki/Hibat_Allah_Abu%27l-Barakat_al-Baghdaadi,36.34,43.13
281,Piera Aulagnier,,,Cornelius Castoriadis:,/wiki/Piera_Aulagnier,FILL,FILL
282,William Godwin, (1756–1836),d'Holbach:Rousseau:Helvétius:,Percy Bysshe Shelley:Herbert Read:,/wiki/William_Godwin,52.664,0.16
283,Nicole Oresme, (1320–1382),Jean Buridan:William of Ockham:Aristotle:,Henry of Langenstein:Galileo Galilei:,/wiki/Nicole_Oresme,49.1469,-0.3753
284,Benjamin Jowett,,,Edward Caird:,/wiki/Benjamin_Jowett,51.4736,-0.0912
285,Max Black, (1909–1988),Frank P. Ramsey:G. E. Moore:Ludwig Wittgenstein:Bertrand Russell:L. Susan Stebbing:,Anton Friedrich Koch:Keith Donnellan:,/wiki/Max_Black,40.39528,49.88222
286,John Robinson,,,Rudolf Bultmann:,/wiki/John_Robinson_(bishop_of_Woolwich),FILL,FILL
287,Zhou dynasties,,,Confucius:,/wiki/Zhou_dynasty,FILL,FILL
288,Gary Snyder,,,Alan Watts:,/wiki/Gary_Snyder,FILL,FILL
289,Sophists,,,Plato:,/wiki/Sophist,FILL,FILL
290,Tadeusz Kotarbiński, (1886–1981),Stanisław Leśniewski:Kazimierz Twardowski:,pl:Kazimierz Pasenkiewicz:Henryk Greniewski:,/wiki/Tadeusz_Kotarbi%C5%84ski,52.233,21.017
291,Constantin Noica,,,Emil Cioran:,/wiki/Constantin_Noica,FILL,FILL
292,Senior,,,John Stuart Mill:,/wiki/Nassau_William_Senior,51.515,-1.253
293,Empedocles, (490 BC–430 BC),Parmenides:Pythagoreanism:Alcmaeon of Croton:,Aristotle:Lucretius:Gorgias:Socrates:Critias:Friedrich Nietzsche:,/wiki/Empedocles,37.317,13.583
294,Bahāʾ al-dīn al-ʿĀmilī,,,Mulla Sadra:,/wiki/Baha%27_al-din_al-%27Amili,34.0063361,36.2073222
295,Johann Schultz,,,Jakob Sigismund Beck:,/wiki/Johann_Friedrich_Schultz,FILL,FILL
296,Théodore Simon,,,Jean Piaget:,/wiki/Th%C3%A9odore_Simon,47.316667,5.016667
297,Kielmeyer,,,Friedrich Schelling:,/wiki/Carl_Friedrich_Kielmeyer,48.55972,9.06
298,Alfred Jarry,,,Jean Baudrillard:,/wiki/Alfred_Jarry,FILL,FILL
299,François Mauriac,,,Gabriel Marcel:,/wiki/Fran%C3%A7ois_Mauriac,FILL,FILL
