,name,birth,incoming_links,outgoing_links,page,latitude,longitude
156,Afrikan Spir, (1837–1890),Descartes:Immanuel Kant:David Hume:J. S. Mill:,Gerardus Heymans:Leo Tolstoy:William James:Hans Vaihinger:Rudolf Steiner:Piero Martinetti:Max Müller:Friedrich Nietzsche:,/wiki/Afrikan_Spir,48.5,32.26667
157,Plotinus, (died 270),Numenius of Apamea:Aristotle:Plato:Middle Platonism:Heraclitus:Alexander of Aphrodisias:Ammonius Saccas:Empedocles:Neopythagoreanism:,Proclus:Simplicius:Christianity:Hierocles:Gemistus Pletho:Porphyry:Avicenna:Augustine:Pseudo-Dionysius:Damascius:Iamblichus:Origen:Henri Bergson:Johannes Scotus Eriugena:Arthur Schopenhauer:Renaissance Platonism:Arthur Drews:Traditionalist School:al-Kindi:Gnosticism:Boethius:Hypatia:Bonaventure:Julian:,/wiki/Plotinus,27.183,31.167
158,Cleanthes, (301–232 BC),Zeno of Citium:,Chrysippus:Sphaerus:,/wiki/Cleanthes,39.48778,26.33694
159,Abu al-Hasan al-Ash'ari,,,Fakhr al-Din al-Razi:,/wiki/Al-Ash%27ari,30.5,47.817
160,Jose Ferrater-Mora, (1912–1991),Jose Ortega y Gasset:Eugeni d'Ors:Miguel de Unamuno:Joaquín Xirau Palau:,Oscar Horta:,/wiki/Jose_Ferrater-Mora,41.383,2.183
161,James Ward (psychologist), (1843–1925),F. H. Bradley:,G. E. Moore:,/wiki/James_Ward_(psychologist),53.74444,-0.3325
162,Karl Rahner, (1904–1984),neo-Thomism:Immanuel Kant:Erich Przywara:Martin Heidegger:Joseph Maréchal:Ignatius of Loyola:Origen:Ludwig Feuerbach:Thomas Aquinas:Augustine of Hippo:,Tomas Halik:Herbert Vorgrimler:Kathryn Tanner:Catherine LaCugna:Francis A. Sullivan:Johann Baptist Metz:Jon Sobrino:,/wiki/Karl_Rahner,47.995,7.85
163,Christoph Gottfried Bardili,,,Karl Leonhard Reinhold:,/wiki/Christoph_Gottfried_Bardili,FILL,FILL
164,Aristophanes,,,Leo Strauss:,/wiki/Aristophanes,37.97,23.72
165,Neoplatonism,,,Avicenna:,/wiki/Neoplatonism,FILL,FILL
166,Johannes Scotus Eriugena, (c. 800–c. 880),Plato:St. Maximus the Confessor:St. Augustine of Hippo:Origen:Dionysius the Areopagite:Boethius:Cappadocian Fathers:,Berengar of Tours:School of Chartres:Nicholas of Cusa:St. Hildegard von Bingen:Honorius of Autun:Alain de Lille:St. Bernard of Clairvaux:Amaury of Bene:Georg Wilhelm Friedrich Hegel:Bernardus Silvestris:St. Thomas Aquinas:Israel the Grammarian:Peter Damian:,/wiki/Johannes_Scotus_Eriugena,FILL,FILL
167,Michel Foucault, (1926–1984),Klages:Hyppolite:Merleau-Ponty:Dumézil:Sade:Kant:Lagache:Canguilhem:Bataille:Barthes:Montaigne:Althusser:Bachelard:Freud:Deleuze:Nietzsche:Hegel:Marx:Artaud:Goffman:Blanchot:Heidegger:,Giorgio Agamben:Judith Butler:Stephen Greenblatt:David Halperin:Jacques Rancière:Edward Said:Pierre Bourdieu:Paul Rabinow:Gilles Deleuze:Félix Guattari:Hubert Dreyfus:Talal Asad:Saba Mahmood:,/wiki/Michel_Foucault,46.58,0.34
168,Bichat,,,Auguste Comte:,/wiki/Xavier_Bichat,46.2719,5.5333
169,Jacob Moleschott, (1822–1893),,Ivan Pavlov:,/wiki/Jacob_Moleschott,51.683,5.3
170,Daub,,,Ludwig Andreas Feuerbach:,/wiki/Karl_Daub,FILL,FILL
171,Socrates, (470–399 BC),Diotima:Archelaus:Anaxagoras:Damon:Prodicus:,Euclid of Megara:Plato:Phaedo of Elis:Aristippus:Xenophon:Western philosophy:Antisthenes:,/wiki/Socrates,FILL,FILL
172,Richard Dawkins,,,Daniel Dennett:,/wiki/Richard_Dawkins,-1.28639,36.81722
173,Edmund Schlink,,,Wolfhart Pannenberg:,/wiki/Edmund_Schlink,FILL,FILL
174,C. D. Broad, (1887–1971),G. E. Moore:Alfred North Whitehead:William Ernest Johnson:Bertrand Russell:John Locke:,A. J. Ayer:,/wiki/C._D._Broad,51.536,-0.248
175,Evangelista Torricelli,,,Robert Boyle:,/wiki/Evangelista_Torricelli,41.883,12.5
176,Irenaeus,,,John Hick:,/wiki/Irenaeus,FILL,FILL
177,August Böckh,,,Wilhelm Dilthey:,/wiki/August_B%C3%B6ckh,49.0092097,8.4039514
178,Johannes Trithemius,,,Paracelsus:,/wiki/Johannes_Trithemius,49.82583,6.90056
179,Bertrand Russell, (1872–1970),Moore:Stout:Shelley:James:Spinoza:Hume:Boole:Leibniz:De Morgan:Cantor:Sidgwick:Frege:Mill:Ward:Mach:Santayana:Euclid:Kant:Meinong:Whitehead:Peano:Wittgenstein:,Stephen Hawking:Jacob Bronowski:Robert Oppenheimer:Herbert A. Simon:Txillardegi:A. C. Grayling:Richard Dawkins:Moritz Schlick:Christopher Hitchens:Michael Albert:Paul Kurtz:Joseph Rotblat:Frank Wilczek:Alfred Tarski:Vienna Circle:Colin McGinn:John von Neumann:G. H. Hardy:Jawaharlal Nehru:Isaac Asimov:Donald Davidson:Aleksandr Solzhenitsyn:Marvin Minsky:Buckminster Fuller:A. J. Ayer:Kurt Grelling:John Maynard Keynes:Noam Chomsky:Sidney Hook:Che Guevara:Kurt Gödel:Nathan Salmon:Isaiah Berlin:Rudolf Carnap:Leon Chwistek:Andrei Sakharov:Ray Kurzweil:Karl Popper:Saul Kripke:Martin Gardner:Pervez Hoodbhoy:W. V. Quine:Hilary Putnam:Norbert Wiener:Albert Ellis:Alan Turing:James Joyce:Frank P. Ramsey:Bernard Williams:Thomas Kuhn:Ludwig Wittgenstein:Kurt Vonnegut:John Searle:Edward Said:Daniel Dennett:Carl Sagan:J. L. Austin:Tariq Ali:B. F. Skinner:,/wiki/Bertrand_Russell,51.74506,-2.7256
180,Claude Lévi-Strauss, (1908–2009),Hegel:Durkheim:Mauss:Saussure:Radcliffe-Brown:Morgan:Jakobson:Boas:Rousseau:,Lacan:Barthes:Leach:Bourdieu:Althusser:Derrida:Deleuze and Guattari:Descola:Clément:,/wiki/Claude_L%C3%A9vi-Strauss,50.85,4.35
181,Thomas Schelling,,,David Lewis (philosopher):,/wiki/Thomas_Schelling,37.80444,-122.27083
182,Protagoras, (c. 481 – 420 BC),Parmenides:Anaxagoras:Democritus:,Jeremy Bentham:Friedrich Nietzsche:F.C.S. Schiller:Plato:,/wiki/Protagoras,40.933,24.967
183,Joseph Joubert,,,Emil Cioran:,/wiki/Joseph_Joubert,FILL,FILL
184,J. A. Smith,,,R. G. Collingwood:,/wiki/John_Alexander_Smith,57.597,-4.428
185,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury", (1671–1713),John Locke:Damaris Cudworth Masham:,Thomas Blackwell:Thomas Jefferson:,"/wiki/Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury",51.50722,-0.1275
186,Pythagoreanism,,,Empedocles:,/wiki/Pythagoreanism,FILL,FILL
187,Martin Heidegger, (1889–1976),Thomas of Erfurt:Hölderlin:Hartmann:Parmenides:Jakob von Uexküll:Rickert:Augustine:Aristotle:Husserl:Laozi:Kant:Duns Scotus:Dilthey:Plato:Aquinas:Heraclitus:Jaspers:Lask:Count Yorck:Kierkegaard:Hegel:Nietzsche:Brentano:Anaximander:,Marcel:Bultmann:Levinas:Borgmann:Harman:Patočka:Merleau-Ponty:Zubiri:Löwith:Strauss:Marcuse:Marion:Arendt:Gadamer:Dreyfus:El-Bizri:Kuki:Sloterdijk:Beaufret:Schürmann:Jonas:Derrida:Sartre:Agamben:Jaspers:Foucault:Norberg-Schulz:Rahner:Stiegler:Dugin:Habermas:Nancy:Blanchot:Rorty:Meillassoux:de Beauvoir:,/wiki/Martin_Heidegger,47.99278,9.1125
188,Talmud,,,Maimonides:,/wiki/Talmud,FILL,FILL
189,Edmund Burke, (1729–1797),Rockingham:Aristotle:Sir William Blackstone:Montesquieu:John Fisher:Michel de Montaigne:René Descartes:Thomas More:Edward Coke:John Selden:Cicero:John Milton:Saint Augustine:David Hume:Erasmus:Hugo Grotius:Joseph Butler:Thomas Aquinas:,Thomas Carlyle:Lord Acton:Slobodan Jovanović:William Hazlitt:William F Buckley:G. K. Chesterton:Samuel Taylor Coleridge:John Stuart Mill:John Maynard Keynes:Joseph de Maistre:Warren H. Carroll:William Wordsworth:Friedrich Hayek:Immanuel Kant:Russell Kirk:Alexis de Tocqueville:Hilaire Belloc:William Ewart Gladstone:John Henry Newman:Adam Smith:Thomas Babington Macaulay:C. H. Douglas:,/wiki/Edmund_Burke,FILL,FILL
190,Thomas Bayes,,,Richard C. Jeffrey:,/wiki/Thomas_Bayes,51.50722,-0.1275
