name,birth,incoming_links,outgoing_links,page,latitude,longitude
Eduard Bernstein, (1850–1932),Hegel:Marx:Jean Jaurès:Karl Höchberg:Karl Kautsky:Kant:Engels:,Marxist revisionists:SPD:,/wiki/Eduard_Bernstein,FILL,FILL
Nicholas Rescher, (born 1928),Plato:Whitehead:Hempel:Peirce:Leibniz:Kant:,Michele Marsonet:John Leslie:Lorenz Bruno Puntel:Alexander Pruss:Ernest Sosa:,/wiki/Nicholas_Rescher,FILL,FILL
Bernard Williams, (1929–2003),Judith Shklar:Immanuel Kant:Ludwig Wittgenstein:Friedrich Nietzsche:Karel Čapek:,Elizabeth Anderson:A.W. Moore:Amartya Sen:Stanley Cavell:Martha Nussbaum:,/wiki/Bernard_Williams,FILL,FILL
Amadeo Bordiga,,,Antonio Gramsci:,/wiki/Amadeo_Bordiga,FILL,FILL
Gustav Teichmuller, (1837–1888),Rudolf Hermann Lotze:Aristotle:Johann Friedrich Herbart:Gottfried Wilhelm von Leibniz:,Friedrich Nietzsche:,/wiki/Gustav_Teichmuller,FILL,FILL
Denis Diderot, (1713–1784),Laurence Sterne:Aristotle:Jean-Jacques Rousseau:Samuel Richardson:Miguel de Cervantes:Lucretius:Isaac Newton:René Descartes:John Locke:Voltaire:Niccolò Machiavelli:Baruch Spinoza:,Johann Wolfgang von Goethe:Milan Kundera:Günter Grass:Baron d'Holbach:Auguste Comte:Jacques Barzun:Karl Marx:François-Noël Babeuf:Étienne Bonnot de Condillac:,/wiki/Denis_Diderot,FILL,FILL
Antoine Arnauld, (1612–1694),Thomas Bradwardine:Cornelius Jansen:Estius:Bernard of Clairvaux:Aquinas:René Descartes:Augustine:,Gottfried Wilhelm Leibniz:Nicolas Malebranche:Francisque Bouillier:Jacques-Bénigne Bossuet:,/wiki/Antoine_Arnauld,FILL,FILL
Montalembert,,,John Henry Newman:,/wiki/Charles_Forbes_Ren%C3%A9_de_Montalembert,FILL,FILL
Ibn Hazm, (994–1069),Dawud al-Zahiri:Ibn al-Mughallis:Epicurus:Prodicus:Muhammad bin Dawud al-Zahiri:,Muhammad Nasiruddin al-Albani:Zahiri:Rashid Rida:Ibn Khaldun:madhab:Muhammad Asad:,/wiki/Ibn_Hazm,FILL,FILL
Antonio Gramsci, (1891–1937),Giovanni Gentile:Vilfredo Pareto:Friedrich Engels:Georges Sorel:Karl Marx:Vladimir Lenin:Benedetto Croce:Amadeo Bordiga:Francesco De Sanctis:Niccolò Machiavelli:Antonio Labriola:,William K. Carroll:Edward Said:New Left:Stuart Hall:Tan Malaka:Louis Althusser:Ernesto Laclau:,/wiki/Antonio_Gramsci,FILL,FILL
Oswald Spengler, (1880–1936),Arthur Schopenhauer:Johann Joachim Winckelmann:Heraclitus:Ernst Mach:Leo Frobenius:Johann Wolfgang von Goethe:Friedrich Nietzsche:G. W. F. Hegel:,George F. Kennan:Henry Miller:Francis Parker Yockey:J. Ortega y Gasset:H. P. Lovecraft:Michel Aflaq:Karl Haushofer:Northrop Frye:Theodor Adorno:Malcolm X:G. H. von Wright:Arnold J. Toynbee:Leo Strauss:Henry Kissinger:Ernst Jünger:Paul Nitze:Julius Evola:,/wiki/Oswald_Spengler,FILL,FILL
Michael Walzer, (born 1935),Isaiah Berlin:Charles Taylor:Karl Marx:John Rawls:Albert Camus:Niccolò Machiavelli:,Amy Gutmann:Axel Honneth:Jean Bethke Elshtain:Michael J. Sandel:Rainer Forst:Ian Shapiro:Michael W. Doyle:,/wiki/Michael_Walzer,FILL,FILL
Adolf Grünbaum,,,Bas C. van Fraassen:,/wiki/Adolf_Gr%C3%BCnbaum,FILL,FILL
Jean Racine,,,Voltaire:,/wiki/Jean_Racine,FILL,FILL
Aristotelianism,,,Aristotle:,/wiki/Aristotelianism,FILL,FILL
Fyodor Dostoyevsky,,,Mikhail Bakhtin:,/wiki/Fyodor_Dostoevsky,FILL,FILL
Johann Gustav Droysen,,,Wilhelm Dilthey:,/wiki/Johann_Gustav_Droysen,FILL,FILL
Muhammad,,,Ibn Tufail:,/wiki/Muhammad,FILL,FILL
Gottlieb Fichte, (1762–1814),Karl Leonhard Reinhold:Immanuel Kant:Ernst Platner:Salomon Maimon:Gottlob Ernst Schulze:Jean-Jacques Rousseau:Baruch Spinoza:,Friedrich Schleiermacher:Karl Wilhelm Ferdinand Solger:Immanuel Hermann Fichte:Johann Friedrich Herbart:Novalis:C. I. Lewis:Karl August von Eschenmayer:August Ludwig Hülsen:Wilhelm von Humboldt:Max Stirner:Ludwig Tieck:F. W. J. Schelling:Dieter Henrich:G. W. F. Hegel:Jules Lequier:,/wiki/Gottlieb_Fichte,FILL,FILL
al-Khwārizmī,,,Omar Khayyam:,/wiki/Muhammad_ibn_Musa_al-Khwarizmi,FILL,FILL
Zeno of Citium, (333–264 BC),Philo:Crates of Thebes:Heraclitus:Diodorus:Socrates:Cynicism:Hipparchia:Polemo:Stilpo:,Posidonius:Epictetus:Cleanthes:Chrysippus:Panaetius:Peter Kropotkin:Marcus Aurelius:Seneca:,/wiki/Zeno_of_Citium,FILL,FILL
Brecht,,,Walter Benjamin:,/wiki/Bertolt_Brecht,FILL,FILL
Alvin Plantinga, (born 1932),Edmund Burke:Augustine of Hippo:Immanuel Kant:Søren Kierkegaard:Hilaire Belloc:John Henry Newman:William Harry Jellema:Ludwig Wittgenstein:Bertrand Russell:Luis de Molina:John Locke:Thomas More:William Alston:John Calvin:Thomas Reid:Duns Scotus:Abraham Kuyper:Thomas Aquinas:,Nicholas Wolterstorff:William Lane Craig:Trenton Merricks:Michael Horton:J. P. Moreland:John Frame:Keith DeRose:Michael Bergmann:Michael Rea:Brian Davies:Peter van Inwagen:Dallas Willard:Robin Collins:Robert Koons:,/wiki/Alvin_Plantinga,FILL,FILL
Emil Cioran, (1911–1995),François de La Rochefoucauld:Martin Heidegger:Philipp Mainländer:Georg Simmel:Nicolas Chamfort:Ludwig Klages:Constantin Noica:Oswald Spengler:Fyodor Dostoevsky:Joseph de Maistre:Arthur Schopenhauer:Emily Brontë:Immanuel Kant:Teresa of Ávila:Paul Valéry:Søren Kierkegaard:Lev Shestov:Nae Ionescu:Joseph Joubert:Blaise Pascal:Friedrich Nietzsche:,Thomas Ligotti:Fernando Savater:Nick Land:Jean Baudrillard:Eugene Thacker:,/wiki/Emil_Cioran,FILL,FILL
Nicolai Hartmann, (1882–1950),Immanuel Kant:Plato:Max Scheler:Paul Natorp:Hermann Cohen:G. W. F. Hegel:,Max Scheler:Martin Heidegger:Jitendra Nath Mohanty:,/wiki/Nicolai_Hartmann,FILL,FILL
James Lovelock,,,John Gray (philosopher):,/wiki/James_Lovelock,FILL,FILL
Hegel,,,Theodor Adorno:,/wiki/Ge,FILL,FILL
Négritude,,,Frantz Fanon:,/wiki/N%C3%A9gritude,FILL,FILL
Otto Neurath, (1882–1945),Ernst Mach:James George Frazer:,John O'Neill:Berlin Circle:Vienna Circle:,/wiki/Otto_Neurath,FILL,FILL
Gorgias,,,Antisthenes:,/wiki/G,FILL,FILL
Francesco Patrizi da Cherso,) (1529–1597),Aristotle:Plato:,Pierre Gassendi:Isaac Newton:Tommaso Campanella:Henry More:Rene Descartes:Giordano Bruno:,/wiki/Francesco_Patrizi_da_Cherso,FILL,FILL
Roger Scruton, (1944–2020),Richard Wagner:Malcolm Budd:Simone Weil:Edmund Burke:Fyodor Dostoevsky:René Girard:T. S. Eliot:Franz Kafka:Immanuel Kant:Edmund Husserl:Georg Wilhelm Friedrich Hegel:John Ruskin:Michael Oakeshott:G. E. M. Anscombe:Leo Strauss:Søren Kierkegaard:Rainer Maria Rilke:Ludwig Wittgenstein:Stephen Darwall:Charles de Gaulle:Jean-Paul Sartre:Martin Buber:,Ed Husain:Raymond Tallis:Alexander Stoddart:Christina Hoff Sommers:Alicja Gescinska:Malcolm Budd:Tim Crane:Anthony O'Hear:Giles Fraser:Maurice Glasman:Douglas Murray:Mark Dooley:Marwa Al-Sabouni:,/wiki/Roger_Scruton,FILL,FILL
François Picavet,,,Alexandre Koyre:,/wiki/Fran%C3%A7ois_Picavet,FILL,FILL
