,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
150,T. M. Scanlon, (born 1940),Saul Kripke:John Rawls:Immanuel Kant:Jean-Jacques Rousseau:,Thomas Nagel:Derek Parfit:Pamela Hieronymi:Christine Korsgaard:,/wiki/T._M._Scanlon,52.1399,-10.2715,AD 1940-06-28 00:00:00
151,Bauch,,,Rudolf Carnap:,/wiki/Bruno_Bauch,51.05,13.3,AD 1877-01-19 00:00:00
152,Pierre Clastres,,,Marcel Gauchet:,/wiki/Pierre_Clastres,-34.5997,-58.3731,AD 1934-05-17 00:00:00
153,Monique Wittig,,,Judith Butler:,/wiki/Monique_Wittig,47.6308,7.1197,AD 1935-07-13 00:00:00
154,Johann Peter Eckermann,,,Avital Ronell:,/wiki/Johann_Peter_Eckermann,FILL,FILL,FILL
155,Aeschylus,,,Friedrich Nietzsche:,/wiki/Aeschylus,38.033,23.533,BC 0525-01-01 00:00:00
156,Jean Jaurès,,,Eduard Bernstein:,/wiki/Jean_Jaur%C3%A8s,43.6,2.25,AD 1859-09-03 00:00:00
157,German Romanticism,,,Wilhelm Dilthey:,/wiki/German_Romanticism,FILL,FILL,FILL
158,Anaximenes of Miletus, (6th century BC),Anaximander:Thales:,Scylax of Caryanda:Leucippus:Heraclitus:Diogenes of Apollonia:,/wiki/Anaximenes_of_Miletus,,,AD 0586-11-01 00:00:00
159,Michael Sandel, (born 1953),Charles Taylor:Aristotle:Immanuel Kant:Michael Walzer:John Locke:John Stuart Mill:John Rawls:,Richard David Precht:Ed Miliband:,/wiki/Michael_Sandel,44.98194,-93.26917,AD 1953-03-05 00:00:00
160,John Colet, (1466–1519),Girolamo Savonarola:Guillaume Budé:,Desiderius Erasmus:,/wiki/John_Colet,16.25,-61.5833,AD 1467-01-01 00:00:00
161,Heinrich Hertz,,,Ludwig Wittgenstein:,/wiki/Heinrich_Hertz,53.56528,10.00139,AD 1857-02-22 00:00:00
162,Andy Warhol,,,Arthur Danto:,/wiki/Andy_Warhol,40.43972,-79.97639,AD 1928-08-06 00:00:00
163,Edmund Husserl, (1859–1938),Bolzano:Plato:Kerry:Brentano:Lotze:Natorp:Leibniz:Rickert:Weierstrass:Windelband:Stumpf:Hume:Masaryk:Kant:Descartes:,Marcel:Levinas:Przywara:Ryle:Zahavi:Farber:Patočka:Ricœur:Merleau-Ponty:Ortega y Gasset:Landgrebe:Reinach:Zubiri:Mises:Smith:Weyl:Blumenberg:Gallagher:Strauss:Gödel:Ingarden:Schütz:Marion:Willard:Henry:Putnam:Fink:Wojtyła:Carnap:Derrida:Sartre:Köchler:Sellars:Western philosophy:Stiegler:Dussel:Kołakowski:Stein:Scheler:Heidegger:,/wiki/Edmund_Husserl,49.47222,17.11056,AD 1859-04-08 00:00:00
164,Gottlob Ernst Schulze, (1761–1833),David Hume:Immanuel Kant:,Johann Gottlieb Fichte:,/wiki/Gottlob_Ernst_Schulze,51.30139,11.21667,AD 1761-08-23 00:00:00
165,Ibn al-Haytham,,,Roger Bacon:,/wiki/Ibn_al-Haytham,30.5,47.817,AD 0965-11-01 00:00:00
166,Job,,,Slavoj Žižek:,/wiki/Book_of_Job,FILL,FILL,FILL
