name,birth,incoming_links,outgoing_links,page,latitude,longitude
Georgi Plekhanov, (1856–1918),Mikhail Bakunin:Friedrich Engels:Karl Marx:Ludwig Feuerbach:Baruch Spinoza:,Lenin:,/wiki/Georgi_Plekhanov,FILL,FILL
Gaston Bachelard, (1884–1962),Charles Nodier:Auguste Comte:Émile Meyerson:Carl Jung:Abel Rey:Léon Brunschvicg:Max Picard:,Georges Canguilhem:Rogelio Salmona:Nader El-Bizri:Michel Foucault:François Dagognet:Don Ihde:Cornelius Castoriadis:Gilbert Durand:Alexandre Koyré:Pierre Bourdieu:Gilles Deleuze:Dominique Lecourt:Louis Althusser:Michel Serres:Maurice Merleau-Ponty:Jules Vuillemin:,/wiki/Gaston_Bachelard,FILL,FILL
Bernard Bolzano, (1781–1848),Gottfried Wilhelm Leibniz:Immanuel Kant:,Kevin Mulligan:Kazimierz Twardowski:Edmund Husserl:Heinrich Scholz:Jean Cavaillès:Franz Brentano:Benno Kerry:Carl Stumpf:Gilbert Ryle:Gottlob Frege:Georg Cantor:,/wiki/Bernard_Bolzano,FILL,FILL
Bias of Priene,,,Heraclitus:,/wiki/Bias_of_Priene,FILL,FILL
Sri Aurobindo, (1872–1950),,Ken Wilber:Haridas Chaudhuri:Mirra Alfassa:Auroville:,/wiki/Sri_Aurobindo,FILL,FILL
Ugo Foscolo,,,Giacomo Leopardi:,/wiki/Ugo_Foscolo,FILL,FILL
Arcesilaus, (316–241 BC),Plato:Crantor:Theophrastus:Pyrrho:Socrates:Crates of Athens:Timon of Phlius:Polemo:,Favorinus:Plutarch:Carneades:Lacydes:Clitomachus:Philo of Larissa:Cicero:,/wiki/Arcesilaus,FILL,FILL
Alain,,,Georges Canguilhem:,/wiki/%C3%89mile_Chartier,FILL,FILL
Nicholas of Cusa, (1401–1464),Aristotle:Proclus:Plato:Pseudo-Dionysius:Ramon Llull:Albertus Magnus:Gemistus Pletho:Bonaventure:Meister Eckhart:Plotinus:Pythagoreanism:Johannes Scottus Eriugena:Thomas Aquinas:,Mário Ferreira dos Santos:John Fisher:Roberto Mangabeira Unger:Karl Jaspers:Thomas More:Pico della Mirandola:Leibniz:Ludwig von Bertalanffy:Nicolaus Copernicus:Harry Mulisch:Giordano Bruno:Galileo Galilei:,/wiki/Nicholas_of_Cusa,FILL,FILL
Martin Buber, (1878–1965),Immanuel Kant:Pierre-Joseph Proudhon:Søren Kierkegaard:Wilhelm Dilthey:Jacob L. Moreno:Sigmund Freud:Ludwig Feuerbach:Rudolf Bultmann:Ralph Waldo Emerson:Georg Simmel:Friedrich Nietzsche:Zhuangzi:,Abraham Joshua Heschel:Hans Urs von Balthasar:Gabriel Marcel:Franz Rosenzweig:Emmanuel Levinas:Emil Brunner:John Berger:Fritz Perls:Walter Kaufmann:Laura Perls:,/wiki/Martin_Buber,FILL,FILL
Bernard de Mandeville, (1670–1733),René Descartes:William Petty:Pierre Bayle:,Adam Smith:Jean-François Melon:Marquis de Sade:Friedrich Hayek:,/wiki/Bernard_de_Mandeville,FILL,FILL
Claude Lefort, (1924–2010),Tocqueville:Marx:Kantorowicz:La Boétie:Arendt:Merleau-Ponty:Solzhenitsyn:Castoriadis:Machiavelli:,Daniel Cohn-Bendit:Miguel Abensour:Marcel Gauchet:,/wiki/Claude_Lefort,FILL,FILL
Roman Ingarden, (1893–1970),Kazimierz Twardowski:Immanuel Kant:Edmund Husserl:,Anna-Teresa Tymieniecka:Wolfgang Iser:René Wellek:Pope John Paul II:,/wiki/Roman_Ingarden,FILL,FILL
Arnobius,,,Augustine of Hippo:,/wiki/Arnobius,FILL,FILL
Odo Marquard, (1928–2015),Gehlen:Kant:Freud:Müller:,Gerd B. Achenbach:,/wiki/Odo_Marquard,FILL,FILL
Rudolf Carnap, (1891–1970),Einstein:Mach:Brentano:Husserl:Russell:Wittgenstein:Kant:Bauch:Frege:Tarski:,Negarestani:Lewis:Bergmann:Goodman:Jeffrey:Gödel:Kuhn:Reichenbach:Ayer:Lakatos:Popper:Davidson:Kaplan:Sellars:Waismann:Dummett:Bar-Hillel:Hempel:Quine:Simon:Tarski:,/wiki/Rudolf_Carnap,FILL,FILL
Horace,,,Augustine of Hippo:,/wiki/Horace,FILL,FILL
Fakhr al-Din al-Razi, (1149–1209),Ibn Furak:Abu al-Hasan al-Ash'ari:Al-Juwayni:Al-Shafi'i:Al-Ghazali:,Taj al-Din al-Subki:Burhan al-Din al-Nasafi:Ibn Abi Usaybi'a:Al-Safadi:Shihab al-Din al-Qarafi:Athir al-Din al-Abhari:Nizam al-Din al-Nisapuri:Al-Suyuti:,/wiki/Fakhr_al-Din_al-Razi,FILL,FILL
Bismil Azimabadi,,,Muhammad Iqbal:,/wiki/Bismil_Azimabadi,FILL,FILL
Gandillac,,,Gilles Deleuze:,/wiki/Maurice_de_Gandillac,FILL,FILL
René Thom,,,Edgar Morin:,/wiki/Ren%C3%A9_Thom,FILL,FILL
Abraham Kuyper,,,Alvin Plantinga:,/wiki/Abraham_Kuyper,FILL,FILL
Cantillon,,,Adam Smith:,/wiki/Richard_Cantillon,FILL,FILL
Karl Korsch, (1886–1961),Immanuel Kant:Mikhail Bakunin:Georg Wilhelm Friedrich Hegel:Friedrich Engels:Karl Marx:Vladimir Lenin:Fabian Society:,Bertolt Brecht:C.L.R. James:New Left:Felix Weil:Frankfurt School:Douglas Kellner:,/wiki/Karl_Korsch,FILL,FILL
Hadith,,,Ibn Arabi:,/wiki/Hadith,FILL,FILL
Paul de Rousiers,,,Georges Sorel:,/wiki/Paul_de_Rousiers,FILL,FILL
Crispin Wright, (born 1942),Michael Dummett:Ludwig Wittgenstein:Noam Chomsky:Gottlob Frege:George Boolos:,Paul Boghossian:Carrie Ichikawa Jenkins:Duncan Pritchard:Jose Zalabardo:Luca Moretti:Michael Lynch:Annalisa Coliva:,/wiki/Crispin_Wright,FILL,FILL
Church Fathers,,,Joseph de Maistre:,/wiki/Church_Fathers,FILL,FILL
Teresa of Ávila,,,Emil Cioran:,/wiki/Teresa_of_%C3%81vila,FILL,FILL
Giordano Bruno, (1548–1600),Nicolaus Copernicus:Nicolaus Cusanus:Averroes:,Arthur Schopenhauer:James Joyce:Gottfried Wilhelm Leibniz:Molière:Baruch Spinoza:Galileo Galilei:,/wiki/Giordano_Bruno,FILL,FILL
Julien Offray de La Mettrie, (1709–1751),John Locke:François-Joseph Hunauld:Herman Boerhaave:,François Picavet:Michel Onfray:,/wiki/Julien_Offray_de_La_Mettrie,FILL,FILL
