,name,birth,incoming_links,outgoing_links,page
2313,Jan Baptist van Helmont,NA,Paracelsus:,,/wiki/Jan_Baptist_van_Helmont
2314,Adam Haslmayr,NA,Paracelsus:,,/wiki/Adam_Haslmayr
2315,Gabriel François Venel,NA,Paracelsus:,,/wiki/Gabriel_Fran%C3%A7ois_Venel
2316,Jane Bennett,NA,Paracelsus:,,/wiki/Jane_Bennett_(political_theorist)
2317,Shelly Kagan,NA,,Derek Parfit:,/wiki/Shelly_Kagan
2318,Jeff McMahan,NA,Derek Parfit:,,/wiki/Jeff_McMahan_(philosopher)
2319,John Cottingham,NA,Derek Parfit:,,/wiki/John_Cottingham
2320,Brad Hooker,NA,Derek Parfit:,,/wiki/Brad_Hooker
2321,Ruth Chang,NA,Derek Parfit:,,/wiki/Ruth_Chang
2322,Thomas Hurka,NA,Derek Parfit:,,/wiki/Thomas_Hurka
2323,Samuel Scheffler,NA,Derek Parfit:,,/wiki/Samuel_Scheffler
2324,Eleatic School,NA,Parmenides:,,/wiki/Eleatics
2325,Emanuele Severino,NA,Parmenides:,,/wiki/Emanuele_Severino
2326,Étienne Pascal,NA,,Blaise Pascal:,/wiki/%C3%89tienne_Pascal
2327,Gilles de Roberval,NA,,Blaise Pascal:,/wiki/Gilles_de_Roberval
2328,Charter 77,NA,Jan Patočka:,,/wiki/Charter_77
2329,Havel,NA,Jan Patočka:,,/wiki/V%C3%A1clav_Havel
2330,Czech philosophy,NA,Jan Patočka:,,/wiki/Czech_philosophy
2331,Prague Spring,NA,Jan Patočka:,,/wiki/Prague_Spring
2332,Kohák,NA,Jan Patočka:,,/wiki/Erazim_Koh%C3%A1k
2333,Paolo da Pergola,NA,Paul of Venice:,,/wiki/Paolo_da_Pergola
2334,John Deely,NA,Charles Sanders Peirce:,,/wiki/John_Deely
2335,Christine Ladd,NA,Charles Sanders Peirce:,,/wiki/Christine_Ladd-Franklin
2336,Richard Swedberg,NA,Charles Sanders Peirce:,,/wiki/Richard_Swedberg
