,name,birth,incoming_links,outgoing_links,page
641,Voltaire, (1694–1778),Jacques-Bénigne Bossuet:Emilie de Chatelet:Lucretius:Isaac Newton:Alexander Pope:Pierre Bayle:Francis Bacon:Pierre Corneille:William Shakespeare:Gottfried Wilhelm Leibniz:Virgil:John Locke:Ibn Tufail:Confucius:Jean Racine:Cicero:Plato:Lucian:Jean Meslier:Epicurus:Homer:Moliere:Miguel de Cervantes:,Emilie de Chatelet:Lord Byron:Christopher Hitchens:Kermani:Jean-Jacques Rousseau:Percy Bysshe Shelley:Vissarion Belinsky:Catherine the Great:Jorge Luis Borges:Napoleon:Mary Wollstonecraft:Karl Marx:Jeremy Bentham:Thomas Paine:David Strauss:William Godwin:Victor Hugo:Gustave Flaubert:Alexander Herzen:Denis Diderot:Johann Wolfgang von Goethe:Frederick the Great:Friedrich Nietzsche:,/wiki/Voltaire
642,Georg Henrik von Wright, (1916–2003),Jürgen Habermas:Eino Kaila:G. E. Moore:Ludwig Wittgenstein:Oswald Spengler:Charles Sanders Peirce:R. B. Braithwaite:,Peter Hacker:Karl-Otto Apel:,/wiki/Georg_Henrik_von_Wright
643,Jean Wahl, (1888–1974),Søren Kierkegaard:Nicolai Hartmann:George Santayana:Martin Heidegger:William James:Henri Bergson:G. W. F. Hegel:,Emmanuel Levinas:Gilles Deleuze:Jean-Paul Sartre:,/wiki/Jean_Wahl
644,Michael Walzer, (born 1935),Isaiah Berlin:Charles Taylor:Karl Marx:John Rawls:Albert Camus:Niccolò Machiavelli:,Amy Gutmann:Axel Honneth:Jean Bethke Elshtain:Michael J. Sandel:Rainer Forst:Ian Shapiro:Michael W. Doyle:,/wiki/Michael_Walzer
645,James Ward (psychologist), (1843–1925),F. H. Bradley:,G. E. Moore:,/wiki/James_Ward_(psychologist)
646,Watsuji Tetsuro, (1889–1960),Kierkegaard:Hegel:Aristotle:Nietzsche:Kyoto School:Nishida:Sōseki:Confusius:Heidegger:,Yuasa:Berque:Umehara:Nakamura:,/wiki/Watsuji_Tetsuro
647,Alan Watts, (1915–1973),Bankei Yōtaku:Jiddu Krishnamurti:Joseph Campbell:Aldous Huxley:Chungliang Al Huang:Allen Ginsberg:Seraphim Rose:Gary Snyder:Carl Jung:Haridas Chaudhuri:Christmas Humphreys:Robert Anton Wilson:D. T. Suzuki:Monica Furlong:Jean Burden:Ruth Fuller Sasaki:,,/wiki/Alan_Watts
648,Simone Weil, (1909–1943),Charles Darwin:Thomas More:Socrates:Voltaire:Alain:Jean-Jacques Rousseau:Aristotle:Bhagavad Gita:David Hume:Erasmus:Baruch Spinoza:Augustine of Hippo:Immanuel Kant:Plato:New Testament:Karl Marx:Homer:John Fisher:Michel de Montaigne:René Descartes:Sigmund Freud:Louise Michel:Friedrich Nietzsche:Edward Gibbon:Thomas Aquinas:,Diogenes Allen:Dorothy Day:Anne Carson:Flannery O'Connor:Roger Scruton:Cornel West:Susan Sontag:Christian Wiman:Giorgio Agamben:Thomas Merton:Jean-Luc Godard:Dewi Zephaniah Phillips:Iris Murdoch:János Pilinszky:Pope Paul VI:Peter Winch:Czesław Miłosz:Albert Camus:Timothy Keller:Pankaj Mishra:Pope Francis:,/wiki/Simone_Weil
649,Otto Weininger, (1880–1903),Arthur Schopenhauer:Immanuel Kant:,Ludwig Wittgenstein:James Joyce:August Strindberg:,/wiki/Otto_Weininger
650,Christian Hermann Weisse, (1801–1866),Georg Wilhelm Friedrich Hegel:Immanuel Hermann Fichte:Friedrich Wilhelm Joseph Schelling:,Hermann Lotze:,/wiki/Christian_Hermann_Weisse
651,"Victoria, Lady Welby", (1837–1912),F. C. S. Schiller:Charles Sanders Peirce:Charles Darwin:,H. Walter Schmitz:Charles Sanders Peirce:Susan Petrilli:Charles Kay Ogden:,"/wiki/Victoria,_Lady_Welby"
652,Cornel West, (born 1953),Anton Chekhov:W. E. B. Du Bois:Friedrich Engels:Shakespeare:James Cone:Martin Luther King Jr.:Reinhold Niebuhr:Simone Weil:James Baldwin:Eugene O'Neill:Sheldon Wolin:Michel Foucault:Toni Morrison:Karl Marx:B. R. Ambedkar:Søren Kierkegaard:Paul Tillich:Josiah Royce:Malcolm X:Blaise Pascal:Richard Rorty:,,/wiki/Cornel_West
653,Alfred North Whitehead, (1861–1947),Aristotle:Francis Herbert Bradley:Immanuel Kant:Plato:George Santayana:Gottfried Wilhelm Leibniz:Isaac Newton:William James:John Locke:John Dewey:Henri Bergson:David Hume:,C. D. Broad:F. S. C. Northrop:Michel Weber:Conrad Hal Waddington:Sewall Wright:Maurice Merleau-Ponty:Talcott Parsons:Ilya Prigogine:John Lighton Synge:David Bohm:Donald Davidson:Wilfred Eade Agar:Bertrand Russell:James Luther Adams:Ervin László:Wolfgang Smith:W. V. O. Quine:Eric Voegelin:Ken Wilber:Milič Čapek:Susanne Langer:Gilles Deleuze:B. F. Skinner:Jules Vuillemin:,/wiki/Alfred_North_Whitehead
654,David Wiggins, (born 1933),,John McDowell:Jonathan Westphal:Jonathan Dancy:,/wiki/David_Wiggins
655,Bernard Williams, (1929–2003),Judith Shklar:Immanuel Kant:Ludwig Wittgenstein:Friedrich Nietzsche:Karel Čapek:,Elizabeth Anderson:A.W. Moore:Amartya Sen:Stanley Cavell:Martha Nussbaum:,/wiki/Bernard_Williams
656,Donald Cary Williams, (1899–1983),George Santayana:Ralph Barton Perry:Bernard Bosanquet:Edwin B. Holt:Bertrand Russell:Samuel Alexander:,Paul Fitzgerald:D. M. Armstrong:Nicholas Wolterstorff:Keith Campbell:David Stove:David Lewis:John Bacon:,/wiki/Donald_Cary_Williams
657,Raymond Williams, (1921–1988),Louis Althusser:Karl Marx:Antonio Gramsci:,Terry Eagleton:Stuart Hall:Edward Said:,/wiki/Raymond_Williams
658,Timothy Williamson, (born 1955),,Jason Stanley:John Hawthorne:,/wiki/Timothy_Williamson
659,John Cook Wilson, (1849–1915),T. H. Green:,W. D. Ross:H. A. Prichard:,/wiki/John_Cook_Wilson
660,Wilhelm Windelband, (1848–1915),Kuno Fischer:Immanuel Kant:Georg Wilhelm Friedrich Hegel:Hermann Lotze:Johann Friedrich Herbart:,Max Weber:Edmund Husserl:Ernst Troeltsch:Albert Schweitzer:Heinrich Rickert:,/wiki/Wilhelm_Windelband
661,Ludwig Wittgenstein, (1889–1951),Johann Georg Hamann:Heinrich Hertz:Leo Tolstoy:William James:Fyodor Dostoyevsky:G. E. Moore:Otto Weininger:Bertrand Russell:Oswald Spengler:Piero Sraffa:Gottlob Frege:Augustine of Hippo:Arthur Schopenhauer:Karl Kraus:Hermann von Helmholtz:Adolf Loos:Søren Kierkegaard:Frank P. Ramsey:L. E. J. Brouwer:Ludwig Boltzmann:Georg Christoph Lichtenberg:Johann Wolfgang von Goethe:,Gilbert Ryle:Quentin Skinner:Ian Hacking:Vienna Circle:Stephen Toulmin:Jon Fosse:G. E. Moore:Bertrand Russell:James F. Conant:Alice Crary:Noam Chomsky:Rudolf Carnap:Saul Kripke:Hans Sluga:G. E. M. Anscombe:Peter Hacker:Alan Turing:Frank P. Ramsey:Thomas Kuhn:Norman Malcolm:Paul Feyerabend:John Searle:Daniel Dennett:Cora Diamond:Crispin Wright:James Tully:Talal Asad:,/wiki/Ludwig_Wittgenstein
662,Christian Wolff (philosopher), (1679–1754),Zhu Xi:Gottfried Wilhelm Leibniz:Ehrenfried Walther von Tschirnhaus:Wang Yangming:René Descartes:Confucius:Baruch Spinoza:,Arthur Schopenhauer:de:Immanuel Kant:Johann Heinrich Samuel Formey:Søren Kierkegaard:Georg Friedrich Meier:Johann Peter Reusch:Georg Bernhard Bilfinger:Mikhail Lomonosov:Anton Wilhelm Amo:Johann Christoph Gottsched:Johannes Nikolaus Tetens:Emer de Vattel:Moses Mendelssohn:Alexander Gottlieb Baumgarten:Martin Knutzen:Adam Weishaupt:Michael Christoph Hanow:,/wiki/Christian_Wolff_(philosopher)
663,William Wollaston, (1659–1724),Cudworth:Clarke:Locke:Newton:Cumberland:Descartes:,John Conybeare:Samuel Johnson:John Clarke:,/wiki/William_Wollaston
664,Nicholas Wolterstorff, (born 1932),Alvin Plantinga:Thomas Reid:William Harry Jellema:John Calvin:Abraham Kuyper:Augustine of Hippo:,Gary Chartier:David Claerbaut:Kendall Walton:,/wiki/Nicholas_Wolterstorff
665,Crispin Wright, (born 1942),Michael Dummett:Ludwig Wittgenstein:Noam Chomsky:Gottlob Frege:George Boolos:,Paul Boghossian:Carrie Ichikawa Jenkins:Duncan Pritchard:Jose Zalabardo:Luca Moretti:Michael Lynch:Annalisa Coliva:,/wiki/Crispin_Wright
666,John Wyclif, (c. 1330 – 1384),Thomas Bradwardine:Richard Fitzralph:Roger Bacon:William of Ockham:Robert Grosseteste:Augustine of Hippo:,William Tyndale:Huldrych Zwingli:Martin Luther:Henry VIII:John Calvin:Jan Hus:,/wiki/John_Wyclif
667,Xenocrates, (396–314 BC),Pythagoreanism:Speusippus:,Crantor:Polemo:,/wiki/Xenocrates
668,Xenophanes," of Colophon, (570–480 BC)",Homer:Epimenides:Thales:Pythagoras:,Karl Popper:Parmenides:Democritus:Protagoras:Pyrrho:Zeno of Elea:Timon of Phlius:,/wiki/Xenophanes
669,Yajnavalkya, (c. 1800 BC),Aruni:,Indian philosophy:,/wiki/Yajnavalkya
670,Yang Chu, (370–319 BC),,Mencius:Max Stirner:,/wiki/Yang_Chu
671,Francis Parker Yockey, (1917–1960),Joseph de Maistre:Karl Haushofer:Carl Schmitt:Oswald Spengler:Gregor Strasser:Ernst Niekisch:Ernst Jünger:Julius Evola:,H. Keith Thompson:Christian Bouchet:Willis Carto:James H. Madole:,/wiki/Francis_Parker_Yockey
672,Iris Marion Young, (1949–2006),Jürgen Habermas:Jacques Derrida:Michel Foucault:Karl Marx:Simone de Beauvoir:Maurice Merleau-Ponty:,Seyla Benhabib:,/wiki/Iris_Marion_Young
673,Edward N. Zalta, (born 1952),Ernst Mally:Gottlob Frege:Alexius Meinong:,,/wiki/Edward_N._Zalta
674,Peter Wessel Zapffe, (1899–1990),Arthur Schopenhauer:Henrik Ibsen:Henri-Frédéric Amiel:Sigmund Freud:Friedrich Nietzsche:Jakob Johann von Uexküll:,Herman Tønnessen:Thomas Ligotti:,/wiki/Peter_Wessel_Zapffe
675,Zeno of Citium, (333–264 BC),Philo:Crates of Thebes:Heraclitus:Diodorus:Socrates:Cynicism:Hipparchia:Polemo:Stilpo:,Posidonius:Epictetus:Cleanthes:Chrysippus:Panaetius:Peter Kropotkin:Marcus Aurelius:Seneca:,/wiki/Zeno_of_Citium
676,Zeno of Elea, (c. 495 – c. 430 BC),Parmenides:,Aristotle:Plato:Protagoras:Gorgias:Marcus Aurelius:,/wiki/Zeno_of_Elea
677,Zeno of Sidon, (1st century BC),Epicurus:Apollodorus:,Philodemus:,/wiki/Zeno_of_Sidon
678,Dewi Zephaniah Phillips, (1934–2006),Kierkegaard:Rhees:Weil:Winch:Wittgenstein:Kant:,,/wiki/Dewi_Zephaniah_Phillips
679,Zhu Xi,) (1130–1200),Mencius:Zhang Zai:Cheng Hao:Confucius:Zhou Dunyi:Cheng Yi:,Arthur Schopenhauer:Tu Wei-ming:Gottfried Leibniz:Wang Yangming:Joseph Needham:Toegye:Qian Mu:Christian Wolff:Wang Fuzhi:,/wiki/Zhu_Xi
680,Zhuang Zhou,) (circa 300 BC),Zhou Era:Chinese thought:Yang Zhu:Laozi:Mozi:Confucius:Hui Shi:,Daoism:Zen:Aleister Crowley:Chinese Buddhism:East Asian philosophies:Alan Watts:,/wiki/Zhuang_Zhou
681,Slavoj Žižek, (born 1949),Job:Chesterton:Spinoza:Schmitt:Adorno:Strauss:Schelling:Balibar:Badiou:Kant:Engels:Lacan:Lenin:Debenjak:Althusser:Dolar:Freud:Zupančič:Foucault:Hegel:Marx:Rancière:Benjamin:Laclau:Jameson:,Brooks:Dean:Rousselle:Santner:Tsipras:Horvat:Varoufakis:Fisher:Dolar:Zupančič:,/wiki/Slavoj_%C5%BDi%C5%BEek
682,Xavier Zubiri, (1889–1983),Hegel:Aristotle:Suárez:Aquinas:Husserl: Ortega y Gasset:Leibniz:Kant:Heidegger:,Graham Harman:Enrique Dussel:Olavo de Carvalho:Frederick Wilhelmsen:Ignacio Ellacuría:,/wiki/Xavier_Zubiri
683,Shihāb al-Din Sührawardį,NA,,Muhammad Abduh:,/wiki/Shihab_al-Din_%27Umar_al-Suhrawardi
684,Abu al-Mānsūr al-Matūrīdī,NA,,Muhammad Abduh:,/wiki/Abu_Mansur_al-Maturidi
685,Rashid Rida,NA,Muhammad Abduh:,,/wiki/Rashid_Rida
686,Abul Kalam Azad,NA,Muhammad Abduh:,,/wiki/Abul_Kalam_Azad
687,Hassan al-Banna,NA,Muhammad Abduh:,,/wiki/Hassan_al-Banna
688,Sayyid Qutb,NA,Muhammad Abduh:,,/wiki/Sayyid_Qutb
689,Muhammad Asad,NA,Muhammad Abduh:,,/wiki/Muhammad_Asad
690,Mahmoud Taleghani,NA,Muhammad Abduh:,,/wiki/Mahmoud_Taleghani
691,Muhammad al-Tahir ibn Ashur,NA,Muhammad Abduh:,,/wiki/Muhammad_al-Tahir_ibn_Ashur
692,Mahmud Shaltut,NA,Muhammad Abduh:,,/wiki/Mahmud_Shaltut
693,Mustafa al-Maraghi,NA,Muhammad Abduh:,,/wiki/Mustafa_al-Maraghi
694,Mohammed al-Ghazali,NA,Muhammad Abduh:,,/wiki/Mohammed_al-Ghazali
695,Yusuf al-Qaradawi,NA,Muhammad Abduh:,,/wiki/Yusuf_al-Qaradawi
696,Boethius,NA,,Peter Abelard:,/wiki/Boethius
697,Arnold of Brescia,NA,Peter Abelard:,,/wiki/Arnold_of_Brescia
698,Śambhunātha,NA,Abhinavagupta:,,
699,Gottfried Wilhelm Leibniz,NA,,Robert Merrihew Adams:,/wiki/Gottfried_Wilhelm_Leibniz
700,Euclid,NA,,Adelard of Bath:,/wiki/Euclid
701,Islamic philosophy,NA,,Adelard of Bath:,/wiki/Islamic_philosophy
702,Hugh of Saint Victor,NA,Adelard of Bath:,,/wiki/Hugh_of_Saint_Victor
703,Baudelaire,NA,,Theodor Adorno:,/wiki/Charles_Baudelaire
704,Berg,NA,,Theodor Adorno:,/wiki/Alban_Berg
705,Bloch,NA,,Theodor Adorno:,/wiki/Ernst_Bloch
706,Cornelius,NA,,Theodor Adorno:,/wiki/Hans_Cornelius
707,Hegel,NA,,Theodor Adorno:,/wiki/Ge
708,Kracauer,NA,,Theodor Adorno:,/wiki/Siegfried_Kracauer
709,Lukács,NA,,Theodor Adorno:,/wiki/Gy%C3%B6rgy_Luk%C3%A1cs
710,Mann,NA,,Theodor Adorno:,/wiki/Thomas_Mann
711,Schoenberg,NA,,Theodor Adorno:,/wiki/Arnold_Schoenberg
712,Bauman,NA,Theodor Adorno:,,/wiki/Zygmunt_Bauman
713,Fisher,NA,Theodor Adorno:,,/wiki/Mark_Fisher
714,Geuss,NA,Theodor Adorno:,,/wiki/Raymond_Geuss
715,Honneth,NA,Theodor Adorno:,,/wiki/Axel_Honneth
716,Zerzan,NA,Theodor Adorno:,,/wiki/John_Zerzan
717,Timon,NA,,Aenesidemus:,/wiki/Timon_of_Phlius
718,Favorinus,NA,Aenesidemus:,,/wiki/Favorinus
719,Avempace,NA,,Jamal al-Din al-Afghani:,/wiki/Avempace
720,Saad Zaghloul,NA,Jamal al-Din al-Afghani:,,/wiki/Saad_Zaghloul
721,Mirza Reza Kermani,NA,Jamal al-Din al-Afghani:,,/wiki/Mirza_Reza_Kermani
722,Abu'l-Barakāt al-Baghdādī,NA,,Albert of Saxony (philosopher):,/wiki/Abu%27l-Barak%C4%81t_al-Baghd%C4%81d%C4%AB
723,Avicebron,NA,,Albertus Magnus:,/wiki/Solomon_ibn_Gabirol
724,Jordan of Saxony,NA,,Albertus Magnus:,/wiki/Jordan_of_Saxony
725,Scholasticism,NA,Albertus Magnus:,,/wiki/Scholasticism
726,Stobaeus,NA,Alcmaeon of Croton:,,/wiki/Stobaeus
727,Richard of Saint Victor,NA,,Alexander of Hales:,/wiki/Richard_of_Saint_Victor
728,Alexander Carpenter,NA,Alexander of Hales:,,/wiki/Alexander_Carpenter
729,T. H. Green,NA,,Samuel Alexander:,/wiki/T._H._Green
730,Montesquieu,NA,,Louis Althusser:,/wiki/Montesquieu
731,Jean-Jacques Rousseau,NA,,Louis Althusser:,/wiki/Jean-Jacques_Rousseau
732,Giulio Angioni,NA,Louis Althusser:,,/wiki/Giulio_Angioni
733,Terry Eagleton,NA,Louis Althusser:,,/wiki/Terry_Eagleton
734,Dominique Lecourt,NA,Louis Althusser:,,/wiki/Dominique_Lecourt
735,Pierre Macherey,NA,Louis Althusser:,,/wiki/Pierre_Macherey
736,Jacques-Alain Miller,NA,Louis Althusser:,,/wiki/Jacques-Alain_Miller
737,Stephen Resnick,NA,Louis Althusser:,,/wiki/Stephen_Resnick
738,Richard D. Wolff,NA,Louis Althusser:,,/wiki/Richard_D._Wolff
739,Anthony Giddens,NA,Louis Althusser:,,/wiki/Anthony_Giddens
740,Mahdi Amel,NA,Louis Althusser:,,/wiki/Mahdi_Amel
741,Roy Bhaskar,NA,Louis Althusser:,,/wiki/Roy_Bhaskar
742,Stuart Hall,NA,Louis Althusser:,,/wiki/Stuart_Hall_(cultural_theorist)
743,Hypatia,NA,Ammonius Saccas:,,/wiki/Hypatia
744,Origen,NA,Ammonius Saccas:,,/wiki/Origen
745,Milesian school,NA,,Anaxagoras:,/wiki/Milesian_school
746,Archelaus,NA,Anaxagoras:,,/wiki/Archelaus_(philosopher)
747,Pericles,NA,Anaxagoras:,,/wiki/Pericles
748,Thales of Miletus,NA,,Anaximander:,/wiki/Thales_of_Miletus
749,Greek astronomy,NA,Anaximander:,,/wiki/Ancient_Greek_astronomy
750,Scylax of Caryanda,NA,Anaximenes of Miletus:,,/wiki/Scylax_of_Caryanda
751,Henry Jones,NA,,John Anderson (philosopher):,/wiki/Henry_Jones_(philosopher)
752,John Passmore,NA,John Anderson (philosopher):,,/wiki/John_Passmore
753,A. J. Baker,NA,John Anderson (philosopher):,,/wiki/A._J._Baker
754,Eugene Kamenka,NA,John Anderson (philosopher):,,/wiki/Eugene_Kamenka
755,Hedley Bull,NA,John Anderson (philosopher):,,/wiki/Hedley_Bull
756,Brian Davies,NA,G. E. M. Anscombe:,,/wiki/Brian_Davies_(philosopher)
757,Crates of Thebes,NA,Antisthenes:,,/wiki/Crates_of_Thebes
758,Cynics,NA,Antisthenes:,,/wiki/Cynicism_(philosophy)
759,Stoicism,NA,Antisthenes:,,/wiki/Stoicism
760,Hans-Hermann Hoppe,NA,Karl-Otto Apel:,,/wiki/Hans-Hermann_Hoppe
761,Vittorio Hösle,NA,Karl-Otto Apel:,,/wiki/Vittorio_H%C3%B6sle
762,St. Paul,NA,,Thomas Aquinas:,/wiki/Paul_the_Apostle
763,Western philosophy,NA,Thomas Aquinas:,,/wiki/Western_philosophy
764,Catholic theology,NA,Thomas Aquinas:,,/wiki/Catholic_theology
765,Protestant theology,NA,Thomas Aquinas:,,/wiki/Protestantism#Theology
766,Crantor,NA,,Arcesilaus:,/wiki/Crantor
767,Polemo,NA,,Arcesilaus:,/wiki/Polemon_(scholarch)
768,Crates of Athens,NA,,Arcesilaus:,/wiki/Crates_of_Athens
769,Lacydes,NA,Arcesilaus:,,/wiki/Lacydes_of_Cyrene
770,Clitomachus,NA,Arcesilaus:,,/wiki/Clitomachus_(philosopher)
771,Menaechmus,NA,Archytas:,,/wiki/Menaechmus
772,Goethe,NA,,Hannah Arendt:,/wiki/Johann_Wolfgang_von_Goethe
773,Heinrich Blücher,NA,,Hannah Arendt:,/wiki/Heinrich_Bl%C3%BCcher
774,Giorgio Agamben,NA,Hannah Arendt:,,/wiki/Gi
775,Seyla Benhabib,NA,Hannah Arendt:,,/wiki/Seyla_Benhabib
776,Elisabeth Young-Bruehl,NA,Hannah Arendt:,,/wiki/Elisabeth_Young-Bruehl
777,Mario Kopić,NA,Hannah Arendt:,,/wiki/Mario_Kopi%C4%87
778,Arete of Cyrene,NA,Aristippus:,,/wiki/Arete_of_Cyrene
779,Aristippus the Younger,NA,Aristippus:,,/wiki/Aristippus_the_Younger
780,Hegesias,NA,Aristippus:,,/wiki/Hegesias_of_Cyrene
781,Theodorus,NA,Aristippus:,,/wiki/Theodorus_the_Atheist
782,Aristotelianism,NA,,Aristotle:,/wiki/Aristotelianism
783,Enlightenment,NA,,Aristotle:,/wiki/Age_of_Enlightenment
784,List of writers influenced by Aristotle,NA,,Aristotle:,/wiki/List_of_writers_influenced_by_Aristotle
785,Cornelius Jansen,NA,,Antoine Arnauld:,/wiki/Cornelius_Jansen
786,Estius,NA,,Antoine Arnauld:,/wiki/Willem_Hessels_van_Est
787,Francisque Bouillier,NA,Antoine Arnauld:,,/wiki/Francisque_Bouillier
788,Ambrosiaster,NA,,Augustine of Hippo:,/wiki/Ambrosiaster
789,Anthony,NA,,Augustine of Hippo:,/wiki/Anthony_the_Great
790,Arnobius,NA,,Augustine of Hippo:,/wiki/Arnobius
791,Cyprian,NA,,Augustine of Hippo:,/wiki/Cyprian
792,Hilary of Poitiers,NA,,Augustine of Hippo:,/wiki/Hilary_of_Poitiers
793,Horace,NA,,Augustine of Hippo:,/wiki/Horace
794,Lactantius,NA,,Augustine of Hippo:,/wiki/Lactantius
795,Lucan,NA,,Augustine of Hippo:,/wiki/Lucan
796,Monica,NA,,Augustine of Hippo:,/wiki/Saint_Monica
797,Optatus,NA,,Augustine of Hippo:,/wiki/Optatus
798,Quintilian,NA,,Augustine of Hippo:,/wiki/Quintilian
799,Sallust,NA,,Augustine of Hippo:,/wiki/Sallust
800,Terence,NA,,Augustine of Hippo:,/wiki/Terence
801,Ticonius,NA,,Augustine of Hippo:,/wiki/Ticonius
802,Virgil,NA,,Augustine of Hippo:,/wiki/Virgil
803,Quintus,NA,,Marcus Aurelius:,/wiki/Junius_Rusticus
804,Apollonius,NA,,Marcus Aurelius:,/wiki/Apollonius_of_Chalcedon
805,Sextus of Chaeronea,NA,,Marcus Aurelius:,/wiki/Sextus_of_Chaeronea
806,Mirra Alfassa,NA,Sri Aurobindo:,,/wiki/Mirra_Alfassa
807,Auroville,NA,Sri Aurobindo:,,/wiki/Auroville
808,Ken Wilber,NA,Sri Aurobindo:,,/wiki/Ken_Wilber
809,Haridas Chaudhuri,NA,Sri Aurobindo:,,/wiki/Haridas_Chaudhuri
810,Rom Harré,NA,J. L. Austin:,,/wiki/Rom_Harr%C3%A9
811,Anatoly Lunacharsky,NA,Richard Avenarius:,,/wiki/Anatoly_Lunacharsky
812,Al-Bitruji,NA,Averroes:,,/wiki/Nur_ad-Din_al-Bitruji
813,Siger of Brabant,NA,Averroes:,,/wiki/Siger_of_Brabant
814,Gaetano da Thiene,NA,Averroes:,,/wiki/Gaetano_da_Thiene_(philosopher)
815,Marcantonio Zimara,NA,Averroes:,,/wiki/Marcantonio_Zimara
816,Averroism,NA,Averroes:,,/wiki/Averroism
817,Neoplatonism,NA,,Avicenna:,/wiki/Neoplatonism
818,Rhazes,NA,,Avicenna:,/wiki/Muhammad_ibn_Zakariya_al-Razi
819,Al-Biruni,NA,,Avicenna:,/wiki/Al-Biruni
820,al-Masihi,NA,,Avicenna:,/wiki/Abu_Sahl_%27Isa_ibn_Yahya_al-Masihi
821,Abul Hasan Hankari,NA,,Avicenna:,/wiki/Abul_Hasan_Hankari
822,Ibn al-Nafis,NA,Avicenna:,,/wiki/Ibn_al-Nafis
823,Abu 'Ubayd al-Juzjani,NA,Avicenna:,,/wiki/Abu_%27Ubayd_al-Juzjani
824,Vienna Circle,NA,,Alfred Ayer:,/wiki/Vienna_Circle
825,Ted Honderich,NA,Alfred Ayer:,,/wiki/Ted_Honderich
826,Charles Nodier,NA,,Gaston Bachelard:,/wiki/Charles_Nodier
827,Max Picard,NA,,Gaston Bachelard:,/wiki/Max_Picard
828,Émile Meyerson,NA,,Gaston Bachelard:,/wiki/%C3%89mile_Meyerson
829,Abel Rey,NA,,Gaston Bachelard:,/wiki/Abel_Rey
830,Léon Brunschvicg,NA,,Gaston Bachelard:,/wiki/L%C3%A9on_Brunschvicg
831,Alexandre Koyré,NA,Gaston Bachelard:,,/wiki/Alexandre_Koyr%C3%A9
832,Gilbert Durand,NA,Gaston Bachelard:,,/wiki/Gilbert_Durand
833,François Dagognet,NA,Gaston Bachelard:,,/wiki/Fran%C3%A7ois_Dagognet
834,Nader El-Bizri,NA,Gaston Bachelard:,,/wiki/Nader_El-Bizri
835,Rogelio Salmona,NA,Gaston Bachelard:,,/wiki/Rogelio_Salmona
836,Don Ihde,NA,Gaston Bachelard:,,/wiki/Don_Ihde
837,Jules Vuillemin,NA,Gaston Bachelard:,,/wiki/Jules_Vuillemin
838,Palissy,NA,,Francis Bacon:,/wiki/Bernard_Palissy
839,Biringuccio,NA,,Francis Bacon:,/wiki/Vannoccio_Biringuccio
840,William Gilbert,NA,,Francis Bacon:,/wiki/William_Gilbert_(physician)
841,Basil Montagu,NA,Francis Bacon:,,/wiki/Basil_Montagu
842,Encyclopédistes,NA,Francis Bacon:,,/wiki/Encyclop%C3%A9distes
843,William Petty,NA,Francis Bacon:,,/wiki/William_Petty
844,Feliks Koneczny,NA,Francis Bacon:,,/wiki/Feliks_Koneczny
845,Albumasar,NA,,Roger Bacon:,/wiki/Abu_Ma%27shar
846,Ibn al-Haytham,NA,,Roger Bacon:,/wiki/Ibn_al-Haytham
847,William of Sherwood,NA,,Roger Bacon:,/wiki/William_of_Sherwood
848,Adam Marsh,NA,,Roger Bacon:,/wiki/Adam_Marsh
849,Juan Bautista Alberdi,NA,Roger Bacon:,,/wiki/Juan_Bautista_Alberdi
850,Paul Cohen,NA,,Alain Badiou:,/wiki/Paul_Cohen
851,Stéphane Mallarmé,NA,,Alain Badiou:,/wiki/St%C3%A9phane_Mallarm%C3%A9
852,Samuel Beckett,NA,,Alain Badiou:,/wiki/Samuel_Beckett
853,Fernando Pessoa,NA,,Alain Badiou:,/wiki/Fernando_Pessoa
854,Sylvain Lazarus,NA,,Alain Badiou:,/wiki/Sylvain_Lazarus
855,François Laruelle,NA,Alain Badiou:,,/wiki/Fran%C3%A7ois_Laruelle
856,Peter Hallward,NA,Alain Badiou:,,/wiki/Peter_Hallward
857,Simon Critchley,NA,Alain Badiou:,,/wiki/Simon_Critchley
858,Mehdi Belhaj Kacem,NA,Alain Badiou:,,/wiki/Mehdi_Belhaj_Kacem
859,Ray Brassier,NA,Alain Badiou:,,/wiki/Ray_Brassier
860,Quentin Meillassoux,NA,Alain Badiou:,,/wiki/Quentin_Meillassoux
861,Alberto Toscano,NA,Alain Badiou:,,/wiki/Alberto_Toscano
862,Oliver Feltham,NA,Alain Badiou:,,/wiki/Oliver_Feltham
863,Justin Clemens,NA,Alain Badiou:,,/wiki/Justin_Clemens
864,Nina Power,NA,Alain Badiou:,,/wiki/Nina_Power
865,Jason Barker,NA,Alain Badiou:,,/wiki/Jason_Barker
866,Tristan Garcia,NA,Alain Badiou:,,/wiki/Tristan_Garcia
867,Samauʼal Al-Maghribī,NA,Hibat Allah Abu'l-Barakat al-Baghdaadi:,,/wiki/Al-Samawal_al-Maghribi
868,Stephen Toulmin,NA,,Kurt Baier:,/wiki/Stephen_Toulmin
869,Stephen Darwall,NA,Kurt Baier:,,/wiki/Stephen_Darwall
870,F. F. Zelinsky,NA,,Mikhail Bakhtin:,/wiki/Tadeusz_Stefan_Zieli%C5%84ski
871,Buonarroti,NA,,Mikhail Bakunin:,/wiki/Philippe_Buonarroti
872,Feuerbach,NA,,Mikhail Bakunin:,/wiki/Ludwig_Feuerbach
873,Cafiero,NA,Mikhail Bakunin:,,/wiki/Carlo_Cafiero
